title,company_name,rating,location,estimate_salary_range,estimate_salary_point,job_description,company_link
Sales Engineer,Xcalar,3.3,"New York, NY",$98K-$118K ,"$107,133","Xcalar is pushing the limits of technology to help people discover deep meaningful insights from data. Our mission is to become the de facto standard for next generation big data processing and analytics engines. Due to our continued growth, we are looking to hire a Sales Engineer.As a core member of this team, you will build killer demos and case studies, and help develop a game-changing product that will revolutionize how big data is parsed, processed, and visualized. You will represent Xcalar throughout the sales process, work with clients to architect solutions, and contribute to the core engineering workstream extending our product that enables customers to discover deep insights from big data.The ideal candidate should have a solid SQL, analytics, infrastructure, and Python background. Machine learning and JavaScript experience is a big plus. The candidate must be able to carry on deep discussions with the customer's technical experts, as well as high-level business talks with senior executives.*Principals only, no recruiters please*ResponsibilitiesDefine, analyze, and design technical solutions to the customer’s business problemsHelp extend Xcalar’s product to meet the customer’s needs and advance the company's sales effortsBuild killer demos and case studies that demonstrate how Xcalar can be used to push technology boundaries to the limit, achieving what was not possibleDevelop and maintain deep technical expertise in the Xcalar product portfolioTechnically support Xcalar’s fast-growing sales team, who take on the largest industry incumbentsWork with Xcalar’s world class engineering team, who design and build high performance analytics systems, tools, and servicesWork on UI design and product definition that leads, influences, and adds key value to the Xcalar product line and collaborate with frontend and backend engineersHelp build and bring to market the next generation big data analytics platform that interactively explores a trillion rows of data using relational operations, algorithmic modeling, and machine learningRequired Skills & ExperienceMinimum of six years’ experience with engineering enterprise solutionsExperience with BI tools (e.g., Qlik, Tableau, Looker) is a plusDeep understanding of SQL and relational databasesUnderstanding of big data, analytics, data science, machine learning, data preparation, scale-out computing, data warehousing, and business intelligenceExperience with MS Azure, Google Cloud, AWS, Hadoop, Spark, and LinuxExperience with PythonGreat communication skills, being able to speak to both technical and business counterparts on the client side and explain technology and solutions architectureB.S./M.S. in Computer Science, Mathematics, or other technical majorFinancial services experience is a plusSome travel requiredXcalar is committed to diversity in its workforce and is proud to be an equal opportunity employer. Xcalar considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, or any other legally protected class. Please reference http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf andhttps://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.Xcalar reserves the right of ownership for all unsolicited resumes submitted for this requisition and is not responsible for any fees associated with unsolicited resumes.","/Overview/Working-at-Xcalar-EI_IE1259182.11,17.htm"
Big Data Engineer,"Meridian Technologies, Inc",4.0,"Seattle, WA",$85K-$114K ,"$97,989","We are looking for strong Big Data Engineers and Data Analysts. This person will be handling petabytes of consumer data for analytics. Excellent salary and benefits.

Locations – Connecticut, Los Angeles, Seattle and New York.

Basic Qualifications:

Have 5+ years of experience developing with a mix of languages (Scala, Python, SQL, etc.) and frameworks to implement data ingest, processing, and serving technologies. Experience with real-time and very large scalable online systems are preferred.

• Cloud experience is must (AWS-S3, Snowflake, Redshift, Big Query etc.)

• Experience with open source such as Hadoop, Spark, Kafka, Druid, Pilosa and Yarn/Kubernetes.

• Experience in SQL, ETL Tools is required

• Are passionate about data, technology, & creative innovation.

• Experience in working with Data Scientists to operationalize machine learning models.","/Overview/Working-at-Meridian-Technologies-Inc-EI_IE3057285.11,36.htm"
Machine Learning Engineer (REMOTE),Scalable Path,5.0,"San Diego, CA",-1,-1,"Scalable Path is looking for a Machine Learning Engineer to join the team. This is a remote, part-time position (approximately 4 hours/day).

CLIENT COMPANY DESCRIPTION:

Our mission is to connect companies with highly-skilled, remote software development professionals in their time zone at a competitive price. For freelancers, we provide the opportunity to work on challenging, stable projects while earning a good living. For our clients, we provide pre-vetted candidates, guidance, and tools to set them up for success. We genuinely care about the success of our clients and our freelancers and strive to create engagements that work well for both.

DUTIES AND RESPONSIBILITIES:

We are interested in using ML to improve the efficiency of our internal recruiting process. One of the bottlenecks in our process is the analysis of job applications. Currently, these applications are individually read and analyzed by a human, which is time-consuming. We would like to build and train a model (or set of models) that can quickly read through all of the applications and suggest the top candidates based on the applicant's profile and answers.

Your responsibilities would include:



Getting to know Scalable Path's current recruiting process
Understanding our current database schema and application logic
Making suggestions on different types of ML models and strategies
Working with the existing development team to deploy the solution
Working with the existing team to create a highly predictive model
Suggest new attributes to consider in order to rank profiles
Optimize performance, storage, and processing power

RELATIONSHIPS - WHO YOU'LL BE WORKING WITH:


You will be working with the CEO and members of the Scalable Path recruiting and development teams. The client is in the America/Los Angeles (-07:00) PDT time zone.

REQUIRED SKILLS:



Strong English Communication
Proven related experience with Machine Learning
Extensive experience with models, learning procedures and hyperparameters
Ability to understand and solve complex problems
Deep understanding of Artificial Neural Networks
NLP
Data modeling and evaluation skills
Requirements analysis skills
Advanced experience with REST APIs
Git

DESIRED (NICE-TO-HAVE) SKILLS:

Previous experience working on HR projects with ML or similar

START DATE:

As soon as possible.

EXPECTED CONTRACT DURATION:

2-3 months and potentially more depending on the success of the project.

HOURLY RATE:

The pay rate for this role is from $50 - $100 USD per hour, depending on experience and capability.",
Computational Science Engineer (CSE),Q Bio,4.4,"Redwood City, CA",$72K-$106K ,"$89,277","As part of the team at Q you will work alongside a highly skilled group of scientists on cutting edge technology in the measurement, modeling, and analysis of complex processes that take place in human physiology.Q draws upon engineering, computer science, biology, physics, and applied mathematics to develop multi-scale models of human physiology, in order to create innovative algorithms and tools that allows us to better characterize and understand human health and its pathologies. We offer the opportunity to learn and develop new skills in a dynamic, multidisciplinary environment, in order to build a world where each generation is healthier than the last.Key Responsibilities- Build and maintain a high performance optimization framework for systems with 100's of millions of variables- Develop novel numerical modeling algorithms for multi-physics simulations- Contribute to the development of intellectual property- Maintain substantial knowledge of state-of-the-art principles and theories in the space of optimization and machine learningRequired QualificationsPhD in Computer Science, Electrical Engineering or Applied MathHands on experience implementing advanced computational methods for electromagnetics, fluid dynamics, or mechanics Strong background in numerical linear algebraStrong background in electrodynamicsExperience working in C/C++ and PythonExcellent written and verbal communication skillsRelentless, self-motivated creative problem solver Able to work effectively in high-pressure, fast-moving team environmentBonus QualificationsExperience in electromagnetic integral equation methods Mathematical optimization (large scale convex / non-convex optimization, stochastic optimization, etc.)Experience developing applications with MPI/OpenMPCUDA programming experienceBenefitsCompetitive salary and equity in a well-funded, early stage startupHealthcare, vision, and dental coverage for you and your dependentsHands-on experience with cutting edge biotech tools, techniques and data including Genomics, Transcriptomics, Epigenetics, Proteomics, Metabolomics, Microbiomics, RadiomicsWe have Superconducting Magnets!We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","/Overview/Working-at-Q-Bio-EI_IE1755895.11,16.htm"
"Software Engineer, Machine Learning",Netskope,4.1,"Santa Clara, CA",$160K-$178K ,"$166,979","About Netskope
Today, there's more data and users outside the enterprise than inside, causing the network perimeter as we know it to dissolve. We realized a new perimeter was needed, one that is built in the cloud and follows and protects data wherever it goes, so we started Netskope to redefine Cloud, Network and Data Security.

Since 2012, we have built the market-leading cloud security company and an award-winning culture powered by hundreds of employees spread across offices in Santa Clara, San Francisco, Seattle, Bangalore, London, Melbourne, and Tokyo. Our core values are openness, honesty, and transparency, and we purposely developed our open desk layouts and large meeting spaces to support and promote partnerships, collaboration, and teamwork. From catered lunches and office celebrations to employee recognition events and social professional groups such as the Awesome Women of Netskope (AWON), we strive to keep work fun, supportive and interactive.Visit us at netskope.com/company/careers and follow us on Twitter @Netskope and Facebook.

Software Engineer, Machine Learning

Within Netskope Engineering, Security Services organization is responsible for building core security products and features, such as Advanced Threat Protection, Data Loss Prevention, User and Entity Behavior Analytics and Secure Web Gateway. We apply Artificial Intelligence and Machine Learning technologies across Netskope cloud security platform. We are looking for talented software engineers to join a newly created data science team. A successful candidate has deep technical expertise in productizing AI/ML technologies in security applications and/or adjacent domains, ideally has been through the entire lifecycle of an award winning AI/ML-driven product, and must be passionate about cloud security. You will have the opportunity to work with a team of talented engineers, researchers and data scientists to solve the most challenging cloud security problems.

Responsibilities:

Design, train, test, productize and deploy machine learning models, writing production-level code and assuming end-to-end ownership of successful ML use case implementation with excellent scalability and performance;
Work closely with data scientists, fellow ML engineers, and product management team to ensure our solutions deliver continuous values to end customers;
Document use case, data acquisition, feature engineering, training, validation, deployment, future improvement opportunity and other important aspects;
Be an evangelist of AI/ML within Netskope. Promote AI/ML wherever applicable, beyond security use cases;
Collaborate with data analytics team to define new platform requirements and continuously improve our horizontally scalable data lake.

Qualifications/Requirements:

First of all, must have true startup spirit. Be willing to wear multiple hats and deliver end-to-end;
Ability to think out-of-box and evaluating results based on customer value;
5+ years of industry experience in applying AI/ML, preferably on well-known security products or services, such as malware detection, anomaly detection, security analytics and data security. Note we are open to all experience levels;
Experience implementing highly efficient AI/ML applications, making best use of modern parallel computing environment such as distributed clusters and GPU;
Experience applying AI/ML in more than one domains highly desirable;
Hands-on experience with relevant technology stacks such as CUDA, Python, R, Spark, Flink, Tensorflow;
Energetic self-starter, with the desire to work in a dynamic fast-paced environment;
Excellent verbal and written communication skills;
Ability to influence without authority;
MS or PhD in Computer Science or equivalent technical degree.

#LI-SD1","/Overview/Working-at-Netskope-EI_IE717917.11,19.htm"
Software Test Engineer-SDWAN,Cisco Systems - Engineering - Software,4.1,Division of Cisco Systems,$105K-$121K ,"$114,785","Who You'll Work WithYou will be part of the Software Development and Quality Assurance team that is responsible for validating all aspects of Cisco Software Defined WAN (SD-WAN) solution. The Enterprise Networking Business (ENB) is Cisco's largest business group by revenue, profit, and contribution margin of $34 bn+. You will work on Enterprise edge products that integrate industry-leading routing, application services, security, and voice/video features with new technologies such as virtualization, 4G mobile data, cloud-based IT applications, DNA, Switching, Routing and WAN. Customers range from small businesses to the world's largest retailers, financial institutions, and IT service providers. Our customers likely include your bank, apparel retailer, grocery store, superstore, and maybe even your favorite coffee shop. Driving innovation and increased customer value has enabled Cisco Enterprise Routing to maintain market share leadership in a competitive environment.What You'll Do

Be a fast learner to understand our automation framework and product featuresExecute regression automation suites for SDWAN productSolve test failures according to automation log filesReport bugs for product issues and automation script problemsSubmit test reports through reporting systemsFollow up with developers to get bugs fixedWork with teams locally and offshoreBe a great teammate in a highly collaborative environmentCoach junior team members and help them on issues and questions

Who You Are

Bachelor's degree in computer science/electrical engineering, or equivalent work experience.6+ years test automation experience in networking Strong scripting skills in Python and ShellProficiency in Linux environmentsSolid understanding of TCP/IP protocolsGood experience with KVM and ESXiFamiliarity with cloud providers such as Amazon Web Services, Google Compute Platform or Microsoft AzureExcellent troubleshooting practicesExpertise in analyzing and fixing distributed systems and application softwareSolid understanding of test methodologies and software development lifecycleDemonstrated leadership and communication skills: technical, team, and cross-teamAbility to work independently in a high-level stress and fast-paced environment

Why Cisco#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!

We Are Cisco.","/Overview/Working-at-Cisco-Systems-Engineering-Software-EI_IE1425.11,24_DIV1488034.htm"
Principal Full Stack Engineer,Tamr,4.3,"Boston, MA",$92K-$121K ,"$107,079","Tamr is the enterprise-scale data unification company trusted by industry leaders like GE, Toyota, Thomson Reuters, and GSK. The company’s patented software platform uses machine learning supplemented with customers’ knowledge to unify and prepare data across myriad silos to deliver previously unavailable business-changing insights. With a co-founding team led by Andy Palmer (founding CEO of Vertica) and Mike Stonebraker (Turing Award winner) and backed by founding investors NEA and GV, Tamr is transforming how companies get value from their data.As we rapidly grow our engineering team, we are seeking for outstanding engineers interested in building products that solve customer problems & enable customer innovation. This is an opportunity to build enterprise software that solves the most time-consuming, manually intensive problem in data science and modern data pipelines: enriching, curating, and preparing data. As part of a talented team, you will design and implement creative solutions to problems in data pipelining, distributed computing, cloud computing, machine learning and user experience.This job might be a good fit for you if you have:At least 10 years of industry experience in software developmentStrong computer science fundamentals. BS or MS in Computer Science preferred. Equivalent industry experience acceptableStrong experience with Java or any other modern programming languageExperience with Big Data technologies, Distributed systems or Cloud native software Excellent problem-solving skillsA collaborative working styleA hunger to learn new things and achieve big outcomesAdditional InformationThis position is available in Cambridge MA. Tamr does sponsor employees requiring a visa.Tamr provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws.","/Overview/Working-at-Tamr-EI_IE995581.11,15.htm"
Senior Electrical Engineer - Analog,ASML,3.7,"San Jose, CA",$69K-$135K ,"$94,486","IntroductionASML is one of the world’s leading manufacturers of lithography systems that help enable Moore’s Law and the creation of increasingly powerful and capable electronic devices. Our San Diego-based light source division, Cymer, is renowned for developing both deep ultraviolet (DUV) lithography light sources and next generation extreme ultraviolet (EUV) light sources.As the world’s leading semiconductor equipment manufacturer, ASML enables chipmakers to produce cheaper, speedier chips – and to produce them faster – thereby enabling all the technology you use today. The systems we produce integrate several large and sophisticated machines, themselves each a feat of engineering innovation, precision, and speed.

We are a multinational company with over 70 locations in 16 countries, headquartered in Veldhoven, the Netherlands. We have 18 office locations around the United States including main offices in Wilton, CT, Chandler, AZ, San Jose, CA and San Diego, CA (EUV laser source creation).

Hermes Microvision, Inc. (HMI), an ASML company, is a leading supplier of advanced E-beam inspection and pattern verification systems used for advanced semiconductor devices. HMI has multiple years of e-beam application experience and leadership in semiconductor factories, focused on high resolution and voltage contrast imaging. As part of ASML, HMI will boost ASML’s holistic lithographic portfolio of (i) lithography exposure systems, (ii) computational lithography and (iii) metrology. Between these three cornerstones ASML offers application products for process window enhancement, control and detection. We are located in the heart of San Jose and growing!

If you have a passion for technology and innovation you’ll want to check us out. Be a part of progress.

One Company, One Goal, Limitless Innovation. It's our people that make the difference.Job DescriptionAs an Senior Electrical Engineer position at ASML San Jose, the position is set to face the challenge of developing high voltage modules for new-generation products of SEM (scanning electron microscope) system. This position is needed to play an important role in design’s technical analysis/review of our existing electronic modules/boards, exploitative study on direction of their innovation and standardization, research and development implementation and new product transformation. In this role, you could work with sub-system architect, derive documents such as EPS and EDS for specific analog modules.

Play an important role in design’s technical analysis/review of our existing high voltage electronic modules/boards, exploitative study on direction of their innovation and standardization, research and development implementation, and new product transformation.

Education

BS or MS degree in Electrical Engineering or relevant Engineering degree.

Experience

 2+ years of hands-on, relevant, work related experience (with Masters)a minimum of 5 years of hands-on, relevant, work related experience (with Bachelors).Strong design capability on analog circuits with fair handling capability on digital circuitHands-on experience of schematic capture, schematic level simulation, HV layout, module-design (cooperation with Mechanical Engineer), and trouble-shooting
Knowledge and experience in analyzing electric field in high voltage and high vacuum. Familiar with Comsol is plus.
Knowledge and experience of board level and module level shielding and grounding.
Strong knowledge in electrical engineering with wide scope to most related fields.
Strong design capability on analog circuits with fair handling capability on digital circuits.
Independent working ability with high skills in module design, HV layout, tune-up and trouble-shooting.
Strong initiative, self-motivation and team-working attitude.
Proficiency in using tool simulating HV module and system.
Strong English communication skills – both written and oral
Previous working experience in SEM electronics, is a plus.

Other informationPHYSICAL DEMANDS AND WORK ENVIRONMENT

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee routinely is required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch.The employee is occasionally required to move around the campus. The employee may occasionally lift and/or move up to 50 pounds.May require travel dependent on business needs.Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.Can work under deadlines.The environment generally is moderate in temperature and noise level.Must be able to read and interpret data, information, and documents.Can observe and respond to people and situations and interact with others encountered in the course of work. Can learn and apply new information or skills.Responsibilities may include periodic travel to regional and overseas sites for product technical support and special support projects. Work may include onsite technical support involving heavy lifting of equipment & modules.Position may require technical work activity in a clean-room production environment and/or laboratory setting.The environment generally is moderate in temperature and noise level. Occasionally may be exposed to loud noise bursts and may be exposed to toxic gases (fluorine). May be required to work in small, confined spaces.

We offer competitive salaries and benefits including medical, dental, vision, 401(K), and FSAs.

We are committed to leveraging the diverse backgrounds, perspectives, and experiences of our workforce to create opportunities for our people and the business.

EOE AA M/F/Veteran/Disability","/Overview/Working-at-ASML-EI_IE5781.11,15.htm"
Customer Support Engineer (Night Shift),Kinetica DB,4.2,"Arlington, VA",$51K-$78K ,"$68,920","Company DescriptionThe Kinetica Active Analytics Platform combines streaming and historical data with location intelligence and machine learning-powered analytics. Organizations across automotive, energy, telecommunications, retail, healthcare, financial services, and beyond leverage the platform’s GPU-accelerated computing power to build custom analytical applications that deliver immediate, dynamic insight. Kinetica has a rich partner ecosystem, including NVIDIA, Dell, HP, and IBM, and is privately held, backed by leading global venture capital firms Canvas Ventures, Citi Ventures, GreatPoint Ventures, and Meritech Capital Partners.

For more information and trial downloads, visit kinetica.com or follow us on LinkedIn and Twitter.Job DescriptionKinetica is looking for a customer support engineer eager to help customers succeed. As a support engineer, you will work with customers from all around the world running Kinetica Active Analytics Platform in different environments on a daily basis, which results in opportunities to learn and help shape the future of the product with your feedback.

If you are driven, smart and thrive when solving challenging problems then this is the right place for you.

Responsibilities:

Become an SME on Kinetica Analytics PlatformProvide technical support to enterprise customersWrite and publish knowledge base articles to help facilitate self-service supportWork closely with Product and Engineering teams to manage customer escalationsFind creative solutions to challenging and complex problems through analytical and highly technical troubleshooting skillsDedicated and flexible schedule - available to sometimes work on weekends as required for On-Call rotation

Qualifications

Excellent of verbal and written communication (in English)BS or MS Technical DegreeStrong understanding of Unix/LinuxStrong understanding of SQLStrong understand of cloud pracitices and methodologies Experience with at least 1 of the following languages: Python, Java, Javascript, C# or C++

Bonus Points:

Strong understanding of Machine Learning technologiesPrevious experience in a customer-facing roleAWS or Azure Certifications


Additional InformationAll your information will be kept confidential according to EEO guidelines.","/Overview/Working-at-Kinetica-DB-EI_IE1743744.11,22.htm"
Senior ML Infrastructure Engineer,My Job Tank,3.6,"San Francisco, CA",$150K-$200K ,"$175,000","“We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas.” What will you be doing?

Building infrastructure that enables deploying machine learning models over billions of historical data points collected from tens of thousands of retail stores across the US.
Developing data pipelines powered by Apache Spark and other modern big data processing systems.
Developing a data backend comprised of transactional, analytic, and NoSQL databases. Maintain a data lake that supports fast and reliable analytics over terabytes of data.
Designing backend infrastructure powering a mobile front-end that will be used daily by tens of thousands of store operators.
Helping maintain tools for monitoring the performance of machine learning models at scale and ensuring the integrity of incoming data feeds.

What skills and experience do you need?

Bachelors, Masters, or PhD in Computer Science or equivalent.
4+ years of work experience.
Outstanding programming skills. Demonstrated ability to design large software systems.
Deep knowledge of databases and/or distributed systems. Experience with modern big data frameworks, especially in the context of building massive data lakes and data pipelines. Experience in scaling computation to thousands of machines, ideally in the context of machine learning.
Experience working with Microsoft Azure, Amazon Web Services, and other cloud providers.A good understanding of machine learning and/or devops expertise is a plus.

Benefits information (PTO, Work from Home, etc): • Unlimited Vacation days and sick days (unmonitored) • No specific work from home day, but the days you have to work from home you can • Relocation is possible for the right candidate • Commuter Benefits, 401K(no matching as of now) • $100 Grocery Stipend • 12 week Paid Maternity+Paternity Leave • Monthly Company cookout/food classes(be on par with the brand, no waste of materials from eating out","/Overview/Working-at-My-Job-Tank-EI_IE2037080.11,22.htm"
