title,company_name,rating,location,estimate_salary_range,estimate_salary_point,job_description,company_link
Senior Consultant - SDLC - DAL,OnPrem Solutions Partners,4.3,"Dallas, TX",$106K-$112K ,-1,"About YouI am consultative in nature and have a passion for and experience in helping my clients to succeed.I am an industrious team-player; I’m not afraid to roll up my sleeves and work diligently on any task.I love to help plan or lead client-facing meetings.I enjoy guiding junior-level team members by reviewing their deliverables, and offering feedback about opportunities for improvement.I thrive when working with senior-level members of my team to ensure project goals are met.I am passionate about the company I work for and love to help with internal initiatives.I am thoroughly organized, have exemplary attention to detail, and demonstrate strong analytical and communication skills.I bring an innovative spirit and a superior work ethic to every engagement.I excel when working with a team, even when faced with demanding deadlines.
Job SummaryAs an OnPrem Senior Consultant with systems development life cycle (SDLC) experience, you will engage in several technology and business consulting projects ranging from the implementation of technology solutions, to organization and process analyses. You will dive deep into the client business, working alongside a project team of other analysts, consultants and a project manager. You will identify risks and provide mitigation strategies, conduct initial reviews of deliverables and give feedback, provide project status to your Project Manager and/or client, and lead client meetings (e.g. stakeholder interviews, workshops, etc.) 
Our consultants work at our client sites. As with all consultants, you should be willing to travel on occasion for work. In this role, you may have an opportunity to mentor junior resources.
About UsWe’re in the business of making businesses better—people, processes, and systems. We’re an end-to-end technology solutions provider focused on connecting disparate parts within organizations. We bring a balance of IQ and EQ to every engagement, and a depth of business and technical acumen to every problem. We are a team that is driven by following through for our clients, and being upfront, honest and sincere. Requirements


3-5+ years Systems Integration, Implementation, SDLC, Project Management experience3+ years in consulting / professional services, big firm experience preferredConsistent exposure to end-to-end SDLC (requirements analysis, design, development management, testing and delivery)Trained on process and/or technology methodologies (e.g. Lean Process Improvement, Six Sigma, Agile implementation, Waterfall model)Experience working with a project team on at least 2 package or custom solution implementation projectsExperience with presentation and spreadsheet tools such as PowerPoint, Visio, and ExcelBachelor's degree in engineering, information systems, computer science, business administration, or other related fields


Preferred


Experience in Media & Entertainment and/or Consumer Products industriesExperience at a large consulting firm (e.g., Accenture, Deloitte, EY, CapGemini, PWC)


Life at OnPremWe were founded on a culture of collaboration and inclusiveness, and this permeates each of our initiatives, both client-facing and internal. We offer a wide selection of benefits including medical, dental & vision, 401k matching and flexible vacation; we sponsor trainings to advance our teams’ skill sets; we prioritize our employees’ professional growth paths. Currently 200+ people strong in four geographic territories, we’ve been recognized as a “Best Place to Work,” a “Great Place to Work,” “Fastest Growing,” and “A Jewel.”
Visa StatusApplicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States (i.e., H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant status).
Equal Employment OpportunityOnPrem Solution Partners ensures equal employment opportunity without discrimination or harassment based on race, color, religion, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity or expression, age, disability, national origin, marital or domestic/civil partnership status, genetic information, citizenship status, veteran status, or any other characteristic protected by law.","/Overview/Working-at-OnPrem-Solutions-Partners-EI_IE763779.11,36.htm"
IT Sales Consultant,Access Systems,4.7,"Rochester, MN",-1,-1,"Are you looking for a company where you can learn, grow, and have the potential to earn $60,000+ in your first year with the realistic opportunity of $85K - $100K+ as you meet and exceed your sales targets? Do you want to utilize your current sales/customer service skills, that we'll enhance with ongoing training, to go to the next level in a professional B2B sales career? Take the chance to turn your ambition and competitive spirit into a rewarding sales career with Access Systems. As we continue to grow, we are looking for highly motivated, success-oriented people to join the team as sales consultants.

In this role, you will be responsible for consulting with current and potential clients and selling them our IT products and services within an assigned geographic territory. You'll have technical engineering assistance, so you don't need to be an IT wizard in this role. You'll simply need to have a general knowledge of technology and the ability to learn and think on your feet. You need to be able to communicate to businesses, in layman's terms, what we offer and how it will benefit them in order to convince them to partner with Access Systems for their technology needs. If this sounds like the kind of career move you've been wanting to make, we want to talk with you.

Apply today and join one ofIowa's Top Workplacesfor the fourth year in a row!

What We Offer:

Base salary + uncapped commission with high earning potential.Car and cell phone allowance.Comprehensive benefitspackage, including 401(k) with company match.Initial and continuous training.All expense paid President's Club trips for top performers.

What You'll Be Doing:

New business development through prospecting and networking.Maintaining top level relationships with an assigned base of current clients. Consulting with businesses to understand needs; offer solutions.Manage all steps of the selling process; coordinate complex decision-making in order to overcome objections to closure.Close new business with current clients and net new businesses according to pre-defined targets, objectives, and plans.Through our CRM platform, you will be responsible for providing accurate activity notes, sales forecasts and reports to management in a timely and consistent manner.

What We're Looking For:

1+ year of sales experience, B2B sales experience is a plus.Associate's/Bachelor's degree preferred.Excellent written and verbal communication skills.Strong relationship building skills.Self-driven, motivated and results oriented.Proven track record of meeting and exceeding goals.Valid driver's license and clean driving record.Proficiency in MS Office tools -- Outlook, Word, Excel, PowerPoint.
","/Overview/Working-at-Access-Systems-EI_IE1003140.11,25.htm"
Digital Transformation & Architecture - Director/Principal Consultant-REMOTE,Information Services Group,4.4,United States,-1,-1,"40% of ISG’s revenues come from our Go-Digital initiatives, and we have ambitious growth plans over the next three years. The Digital Strategy & Solutions Service Line spearheads our Digital solutions and offerings in the market is a key driver of this growth.

Our Digital Strategy & Solutions consist of 5 key domains:

a) Agility @ Enterprise Scale

b) Digital Backbone & Cloud Operating Models

c) Emerging Technology @ Enterprise Scale (Analytics, AI, Cybersecurity, Blockchain,…)

d) Digital Transformation & Architecture

e) Digital Engineering & Manufacturing

The Digital Transformation & Architecture Domain focuses on the transformation programs that ISG’s clients have defined under their digital agenda. The offerings include Business Model Innovation, Data Monetization and the ISG Digital Value Framework™.

To strengthen our Digital Transformation & Architecture domain, we are looking for a seasoned Director and Principal Consultant who will help ISG clients in defining, measuring and executing on how digital drives value and transforms their business models.

This position will play a key role in driving architectural decisions across projects with our clients, will help to shape our offering, and grow/lead a delivery/consulting team for application and solution architecture for business model innovation.

This position will participate as part of the Digital Strategy & Solutions leadership team – and guide a consulting team in sales solutioning, delivery of ISG methodology and tools, and in market-facing content development / thought leadership. You will lead in the development of initial assessments, strategies, workload and/or portfolio analysis, project plans, market capabilities, and roadmap development for the Digital Transformation & Architecture – and run large programs across multiple clients within this discipline.

Knowledge, Skills and Experience Qualifications:

• 7-15 years recent consulting experience in enterprise and application architecture in customer-facing roles, or suitable experience within a corporate IT department in a variety of leadership positions across IT Operations, Architecture and Security.

• Expertise in defining target business capabilities and value maps/streams at enterprise level for the G500.

• Good understanding of platform business models.

• Strong understanding of organizational roles and responsibilities associated with enterprise IT and the nuances in B2B, B2C, asset-heavy and B2B2C industry segments.

• Good experience with IT service delivery and operations. Hands-on experience is a nice to have.

• Expert with application delivery models (DevOps and multimodal delivery) and ability to understand application architectures for cloud modernization with working knowledge of architecture of public and on-premise hybrid-cloud solutions

• Broad enterprise application experience with leading ERP stacks such as SAP, Oracle, etc. and other platform such as HRIS, CRM, etc.

• Knowledge and experience with DevOps processes and tools highly desired

• Broad exposure to major SaaS solutions like Workday, Salesforce as well as iPaaS / managed PaaS trends and offerings in the market.

• Knowledge of workloads and patterns for cloud migration and architecting.

• Technical proficiency and comfort with variety of operating system and database platforms

• Strong presentation, verbal and written communication skills with the ability to articulate complex ideas in easy to understand business terms to all levels of management including senior leaders and C-level executives.

Education/Certifications:

• Bachelor of Arts or Science degree in a technical or scientific field

• MBA/MS or other advanced degree(s) desirable

• ITIL Foundation Qualification desirable

• Cloud certifications desirable

• Agile, SAFe, Scrum, or Kanban certification(s) desirable

Travel:

• 80% - 100% required

Technical & Professional Traits:

• Fully understands, and has experience with the consulting lifecycle

• Has worked for Tier 1 consultancies at some point in their career at a Director or Associate Partner level or above for at least 3+ years across their overall professional career.

• The individual has led large, diverse, multi-disciplinary teams to solve complex technology related issues in real life industry relevant scenarios.

• Has hands on experience with specific practice competencies & themes through client engagement work in Tier 1 consultancies, or through direct employment with large global enterprises in the specific industry.

• Has strong 3+ years of experience across multiple industry segments, and is knowledgeable of critical success factors/issues that are emerging due to the impact of the Digital Industrial Economy for those industries.

• Is comfortable with working within a matrix management operating model.

Duties & Responsibilities:

• Leads offerings and solutions in the Digital Transformation & Architecture domain across the Americas – guides, shapes and leads a team.

• Leads the enterprise and application architecture practice at ISG.

• Provides consultation services to clients and suppliers in areas of enterprise and application architecture trends, usage of platforms, cloud migrations, management, cost transparency, service models and supplier transactions.

• Carries responsibilities for growing the practice.

• Gains an understanding of client’s current situation and environment by gathering needed information and using appropriate frameworks and models in the development of assessment material for decision-making purposes.

• Participates as a key contributor or engagement leader on client engagements SME focus area.

• Responsible for project management of small to medium sized engagements or major sub-project. Leads the planning and the development to all project deliverables and assumes overall responsibility for staffing, budget, work plans, scope, project milestones, issues management and risk management utilizing ISG’s project management methods, tools and templates.

• Guides and leads the creation and delivery of ISG methodology and tools in support of client cloud computing initiatives.

• Provides thought leadership in the formation and build of additional value-added consulting offerings and partnership opportunities to help drive the ISG Digital Transformation & Architecture business including the development of external content development and thought leadership.

• Assists in recruiting activities by identifying and interviewing candidates as well as informal mentoring and coaching of current staff.

• Contributes to the creation and refinement of ISG methodologies, tools, processes, and IP for cloud and other digital offerings.","/Overview/Working-at-Information-Services-Group-EI_IE638888.11,37.htm"
"Epic Certified Revenue Cycle Consultant (HB, PB, HIM, Claims)","Nordic Consulting Partners, Inc.",4.5,"San Francisco, CA",$73K-$137K ,-1,"Nordic is looking for experienced Epic consultants with revenue cycle certifications and two or more years of Epic build, maintenance, and support experience.

Certification in any of the following areas: Hospital Billing, Professional Billing, HIM, and/or ClaimsAt least two years of Epic build, maintenance, and support experience requiredStrong communication skills, written and verbal, required

ABOUT NORDIC

Healthcare organizations are challenged to deliver higher quality care at a lower cost. Our award-winning team provides consulting services focused on strategy, technology, and operations, as well as managed services, that result in a stronger business with better patient outcomes. Ranked as a best place to work by seven publications, Nordics culture provides our home office and consultants a supportive environment in healthcare that allows you to make a difference, be happy, and grow your career.

Job Types: Full-time, Contract

Experience:

Epic: 2 years (Required)

License:

Epic HIM (Required)

Contract Length:

Varies

Contract Renewal:

Possible
","/Overview/Working-at-Nordic-Consulting-Partners-Inc-EI_IE1152333.11,41.htm"
Business Support Consultant 3,Wells Fargo,3.6,"Charlotte, NC",$87K-$150K ,-1,"Job DescriptionImportant Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume when submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as Personal Cell or Cellular in the contact information of your application.

At Wells Fargo, we want to satisfy our customers financial needs and help them succeed financially. Were looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where youll feel valued and inspired to contribute your unique skills and experience.

Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.

Wholesale Banking provides financial solutions to businesses across the United States and globally. Our four major business lines include Corporate & Investment Banking, Commercial Banking, Commercial Real Estate, and Wells Fargo Commercial Capital. We also have groups in credit risk, group risk, finance, marketing, human relations, and the Wholesale Chief Operating Office that support our businesses.

This role will act as a consultant with Business Interruption Support team working with Operations, Technology and Product Partners supporting the Wholesale/Commercial Banking applications with a focus on strategy, projects and initiatives, release coordination support , implications of changes and facilitate resolution for business interruption issues.

The role will also be responsible for:

Participate and make recommendations on policy adherence via project and governance protocols. Utilize business SME, work within project/initiatives to recommend strategies implementation of changes, initiate or support projects and improvements. Engage appropriate partners and Lines of Business to understand impacts of proposed changes, and issues causing business interruption. Engage in resolution activities for production issues impacting business. Provide reporting and communication of production/project installations status and work with Lines of Business to coordinate the validations needed for changes being introduced into production systems. Facilitate Wholesale application Governance Forums, take minutes, capture documentation on SharePoint site. Responsible for updates of all application/Ops specific training. Work with projects and governance leadership to be aware of upcoming changes that could impact training materials and ensure alignment with agreed upon strategy.

Team members support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business units risk appetite and all risk and compliance program requirements.Required Qualifications

6+ years of experience in one or a combination of the following: administrative support, project management, implementation, business operations or strategic planning demonstrated through work or military experience

Other Desired Qualifications

Experience working within technology projects as SME, Business Analyst, Implementation Consultant Process design/development experience Ability to communicate effectively to senior levels of the organization

Street AddressNC-Charlotte: 1525 W Wt Harris Blvd - Charlotte, NC

IA-Des Moines: 800 Walnut St - Des Moines, IA

MN-Minneapolis: 90 S 7th St - Minneapolis, MNDisclaimerAll offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.

Relevant military experience is considered for veterans and transitioning service men and women.

Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.","/Overview/Working-at-Wells-Fargo-EI_IE8876.11,22.htm"
Retail Design Consultant,Carpet Weavers Inc,1.0,"Springfield, IL",-1,-1,"Design/Sales ConsultantCarpet Weavers Design/Sales Consultants are responsible for building meaningful and long-term customer relationships with our customers. They have comprehensive knowledge ranging from flooring to furniture. They use relationship selling techniques through design consultations to maximize selling opportunities. Our design consultants take joy in the design process and helping our valuable customers! Carpet Weavers is the area market leader in style, selection, quality and value.Carpet Weavers is unique in that we provide a one-stop shopping experience for our customers. As a design consultant you will able to work with customers on selecting everything from flooring & backsplashes to furniture & accessories. You will be able to truly transform your customers homes. Over the years we have established an outstanding reputation for quality products and services. Credit for this goes to every one of our incredible employees.We are seeking confident, self-motivated individuals and with an eye for interior design. If you are the type of person who takes charge of their own future, enjoys working in a retail design environment, wants to learn a career and grow professionally then you are the type of individual we are seeking.Primary Responsibilities: Greet customers in a timely, professional and personable mannerUse product knowledge and selection to provide exceptional service to customers and build your salesBuild lasting relationships with customers by contacting them to follow up on purchases, suggest new merchandise, and remind them of upcoming eventsAssist in maintaining the appearance of the store in a neat and organized fashion.Represent Carpet Weaver's Flooring & Furniture Gallery to the customer with a high degree of professionalism and integrity, thereby assuring customer satisfaction.The minimum requirements are: Must be 18 years or olderHigh school diploma or equivalentInterior Design experience & interested is a plusExcellent communication and organizational skillsAt least 1 year of retail experienceBenefit Package: Competitive PayOpportunity for advancementMedical, dental, disability & life insurance401(K)Paid vacationAnd more!An outstanding future awaits you with Carpet Weaver's Inc. We look forward to hearing from you.Job Type: Full-timeSalary: $24,000.00 to $45,000.00 /yearRequired education: High school or equivalentJob Type: Full-timePay: $24,000.00 - $45,000.00 per yearExperience:relevant: 1 year (Preferred)Retail Sales: 1 year (Preferred)sales: 1 year (Preferred)Customer Service: 1 year (Preferred)Additional Compensation:BonusesBenefits:Health insuranceDental insurancePaid time offPay frequency:Every other weekWork includes:EveningsWeekendsHolidaysSchedule:Monday to FridayWeekends requiredHolidays requiredDay shiftNight shiftWork Remotely:No",
Technical Consultant - Modern Data Practice,Productive Edge,4.1,"Chicago, IL",$70K-$133K ,-1,"The Productive Edge Data, Automation and Artificial Intelligence (AI) Practice provides advanced technology solutions and strategies that propel our clients into the modern data age. Our PE teams turn the promise of AI and Machine Learning into practical solutions that empower differentiated customer experiences, predictive insights, and transformational business outcomes. Likewise, PEs Modern Data Management Framework and Agile-centric methodology enable us to achieve impactful results rapidly and efficiently.

The Technical Consultant - Modern Data Practice, as part of the Data, Automation and AI team, will be responsible for partnering with business stakeholders and Product Managers to understand, analyze, refine, prioritize and communicate business needs to ensure the engineering team understands scope, requirements, and objectives.

Additional Responsibilities:

Partner with project leadership to understand client business processes
Work with client and internal stakeholders to gather functional and technical requirements on current and future systems and processes
Serve as a subject matter expert in the customer's business process and be able to break down processes into manageable steps
Collaborate with customers and technical team to identify patterns, trends, and anomalies in the data
Provide technical analysis
Utilize Agile experience to drive projects and product decisions
Participate in collaboration sessions with customers to formulate creative and practical solutions to their challenges
Identify dependencies and remove impediments to ensure that deliverables are achieved on time and within budget
Interface and effectively communicate with both business and technical resources

To excel in these daily activities, the Technical Consultant at Productive Edge would possess the following experience and skills:

Experience delivering sophisticated technical solutions in a timely manner using Agile techniques
Ability to document system-level requirements like services, database models, integration points and server configurations
Ability to easily understand the business problem and serve as the SME for project sponsor needs
Knowledge of SQL and NoSql databases with diverse project experience.
Ability to perform data analysis and translate to requirements, including data mapping and gap analysis
Ability to cast the project vision, assembling and motivating a team to achieve it
Prior development or technical knowledge and skills (SOA, OOP, .NET / Java, SQL)
A natural leader who wants to grow their leadership and strategy skills
Excellent communication and presentation skills, working with both client and technical teams
Knowledge or experience with Machine Learning is a plus!

About Productive Edge

Productive Edge is a Chicago-based leader in digital transformation. As digital business consultants, we focus on digital strategy, customer experience, operations improvement, and product & services enablement. How do we do this? Through launching solutions for Data and Artificial Intelligence (AI), Intelligent Automation (IA), Internet of Things (IoT), and Cloud Native Solutions. Sounds fun, right? It gets better...and thats where you come in!

Productive Edge offers the dynamic opportunity to use your talents in a progressive, highly-collaborative environment that values innovation and creativity. We are a culture that stays on the cusp of todays developing and emerging technologies. Our passion, ingenuity, and dedication sets us apart from other consultants (as does our modern work atmosphere with fun outings, foosball, stocked fridge and other activities). Because we work with and develop solutions for some of the worlds most exciting brands, we are actively searching for individuals who are ready to change the way the world operates.

And if thats not enough, Productive Edge has been featured as one of Chicagos 101 Best and Brightest Companies to Work For, included in Crains Fast 50, and is a regular on Inc. 5000.","/Overview/Working-at-Productive-Edge-EI_IE546617.11,26.htm"
Consultant/Program Manager,Woolpert,4.1,"Charlotte, NC",$117K-$151K ,-1,"Woolpert, Inc. is a cutting-edge national architecture, engineering, geospatial and strategic consulting firm that delivers value to clients by blending engineering excellence with innovative technology and industry expert knowledge to solve our client needs. Woolpert was recently certified as an Employer of Choice by Great Place To Work®. We believe great companies are built from exceptional people and amazing clients. We are seeking a Consultant in the Arlington, VA area, Denver, CO area, Raleigh, NC area, DFW Metroplex, TX area, and Seattle, WA area.

Responsibilities:

Being a part of a fast-paced solutions driven consulting team focused on delivering strategic asset management services to airports throughout the United States.Responsible for technical work development which includes; strategic plans, business process engineering, implementation plans, asset management plans, financial analysis, total cost of ownership analysis, etc.Expansion of existing clients, development of new clients and market growthOther duties as assigned

Requirements:

Bachelor’s or Master’s Degree or equivalent5-10 years’ experience in consulting roles in the asset management fieldStrong data analytics, problem solving, written communication and interpersonal skills with demonstrated ability to provide management consulting services across a range of public and private sector clientsExcellent public speaking and communication skills. Expected to present findings and final deliverables to clientsAbility to travel as required by client and work engagement requirementsProficient in MS Suite, ability to work in Adobe Suite a plus.
","/Overview/Working-at-Woolpert-EI_IE260096.11,19.htm"
Financial Consultant,Ridgewood Savings Bank,3.5,"Ridgewood, NY",-1,-1,"The Financial Consultant will work to achieve and maintain bank goals by providing clients with information regarding financial planning.

Qualified candidates should have:

• A four-year college degree or equivalent work experience

• 3-5 years of successful proactive experience in the sale of investment and insurance products

• Active Life and Variable Insurance Licenses

• Active FINRA Series 7 and Series 63 Licenses

• Understanding of potential and existing client needs

• Personable, strong verbal, written and communication skills

• Honest team player who is adaptable to any environment

• Organized with ability to manage time wisely

• Ability to use General office equipment and computer software including Microsoft Office Word and Excel software

• Must have transportation and be able to accommodate appointments outside of bank at customer’s home or offices.

1. Accepts and conforms to the terms of the employment agreement(s) executed between the employee and the bank including a mutual employment agreement executed between the employee, the bank, and the securities brokerage services and insurance services companies. Ensures adherence to all policies, procedures and requirements of both Ridgewood Savings Bank and its partners.

2. Advises prospective clients through in-person and telephonic meetings with the goal of developing relationships and generating leads; follows through with tailored advice that meets client’s financial objections and risk tolerance.

3. Based on the investment consultant’s review of the customer needs, he or she will ensure that appropriate investment and/or insurance strategies are utilized. Provides guidance to customers on personal investment product purchases and sales/redemptions by informing them of current market trends and recommending appropriate investment strategies.

4. Responsible for the sales and distribution of personal investment products and services including retirement, education, and tax-advantaged planning services to individual and business customers to satisfy client needs while increasing the organization’s profitability by achieving revenue targets.

5. Maintains up-to-date awareness of client portfolios to ensure consistency with client goals and identify opportunities for additional business.

6. Advises branch personnel in assigned branches on referral generating activities.

7. Maintains a full working knowledge of various software packages to enhance business development, client service and operational processes.

8. Represents the bank by participating in community affairs, clubs and organizations to assess the needs of the community, enhance the bank’s visibility and increase new business opportunities.Requirements

- Four year College Degree or equivalent work experience.\n\n- Active FINRA Series 7 and Series 63 Licenses. \n\n- Active Life and Variable Insurance Licenses. \n\n- Must have transportation and be able to accommodate appointments outside of bank at customer’s home or offices.\n \n- Ability to use General office equipment and computer software including Microsoft Office Word and Excel software.\n\n- 3-5 years of successful proactive experience in the sale of investment and insurance products
","/Overview/Working-at-Ridgewood-Savings-Bank-EI_IE28255.11,33.htm"
"Technical Solution Consultant / Cloud Specialist - Remote, US",Guidewire Software,4.1,Remote,-1,-1,"Welcome to Guidewire! We make software that offers property and casualty insurance companies the solutions to take care of their customers when they need it the most, whether that’s a time of crisis, a natural disaster, an accident, or exposure to cyber risks. We’re searching for people who are as passionate about working together to represent our quality products and services to the market as we are. As a technology expert, you will be working closely with our Product and Services teams to understand our offerings, with the Sales team to communicate those offerings to prospective customers and most importantly with our prospects and customers to help them find solutions to their most challenging business imperatives. As a member of a team that is known for execution, you will excel in understanding a variety of technical and business process challenges, leading technical discussions with internal and prospective customer teams and presenting complex solution demonstrations. The position requires a unique blend of business process, listening, technical design, and communication skills. Important Note: 55 - 65% travel is required for this role, with some week-to-week variance.  Key activities for the Technical Solution Consultant include:help articulate cloud visions and SaaS offerings to new and existing clientssupporting the sales team as an expert on the technical and integration aspects of Guidewire solutions throughout the sales cycle:leading formal and informal architecture discussionspartnering with the Guidewire Functional Solution Consultants for application configuration for detailed product demonstrations. (eg: data model extensions, page configurations and rules creation).identifying new platform requirements and working with Product Management to design solutions for those requirements Necessary skills and expertise: Strong verbal and presentation skillsProficiency in one or more modern programming languagesDatabase systems and conceptsIntegration mechanisms and patternsProcesses and tools in the software development lifecycle (source control, build systems, testing)Familiarity with cloud computing and SaaS industry trends Helpful knowledge: RESTful architecture and developmentJava and related enterprise technologiesAWS technical ecosystemKubernetes and related technologiesAuthN and AuthZ conceptsModern JavaScript web toolkits and developmentAbout GuidewireGuidewire exists to deliver the industry platform that P&C insurers rely upon to adapt and succeed in a time of accelerating change—and to ensure that every customer succeeds in the journey. We provide the software, services, and partner ecosystem to enable our customers to run, differentiate, and grow their business.Guidewire InsurancePlatform is the P&C industry platform that unifies software, services, and partner ecosystem to power our customers’ business. InsurancePlatform provides the standard upon which insurers can engage their customers, optimize their operations, drive smart decisions, and innovate quickly. We are privileged to serve more than 380 P&C insurers in 32 countries. We invest heavily in R&D to build a technology platform that combines three elements—core processing, data and analytics, and digital engagement—to enhance insurers’ ability to engage and empower their customers and employees.See and hear from our employees at https://careers.guidewire.com/ About GuidewireGuidewire is the platform P&C insurers trust to engage, innovate, and grow efficiently.Guidewire combines core, data, digital, analytics, and AI to deliver our platform as a cloud service. 380 insurers, including the largest and most complex in the world, run on Guidewire.As a partner to our customers, we continually evolve to enable their success. We are proud of our unparalleled implementation track record with 700+ successful projects, supported by the largest R&D team and partner ecosystem in the industry. Our marketplace provides hundreds of add-ons that accelerate integration, localization, and innovation.Guidewire Software Inc. provides equal employment opportunities to all applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. All offers are contingent upon passing a criminal history and other background checks where it's applicable to the position.","/Overview/Working-at-Guidewire-Software-EI_IE122537.11,29.htm"
