title,company_name,rating,location,estimate_salary_range,estimate_salary_point,job_description,company_link
Financial Analyst,Independent Electric Supply,3.1,"San Francisco, CA",$48K-$76K ,-1,"Independent Electric Supply, Inc. (IES) opened in 1976 with ten employees to serve electrical contractors working in the high-tech aerospace industry. Today, IES operates 16 electrical supply branches in the Northern California area, San Francisco Bay area, Central Valley, Central Coast and 7 locations throughout Arizona. IES focuses on traditional electrical supply with dedicated specialists in lighting, switchgear, wire management, tool & safety, renewable energy and enhance logistics solutions to meet specific customer needs. Employing more than 525 people and managing over 1 million square feet of warehouse space, IES is one of the strongest electrical distributors in the markets we serve.In August 2011, IES was acquired by Sonepar USA consisting of the finest locally managed electrical and industrial distributors throughout the United States. Sonepar is the world leader in electrical distribution.

EEO Statement:

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.

Summary

The IES Financial Analyst position provides direct support to the Finance Leader and works with the different sales and operational areas of the business and the Sonepar Finance team in a wide range of finance, accounting, operating activities and information requests. The IES Financial Analyst works with the Business Analyst position and must be able to develop a close working relationship with this position. The Financial Analyst is required to aide management in decision making. The ideal candidate is disciplined, has a sense of urgency and high quality and accuracy standards.

Essential Functions

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

• Prepare information requests from the Sonepar regional and corporate Finance team in an accurate and timely manner.

• Be knowledgeable of Sonepar's finance, accounting and business policies and procedures to make sure IES complies with them and that controls are in place and operating as required.

• Provide extensive support during the annual financial planning cycle (annual budgets and periodic financial forecasts).

• Perform variance analysis between actual financial performance and budgets/forecasts accurately explaining the main drivers behind the variances.

• Prepare financial reports and presentations for business and financial reviews, executive meetings, etc.

• Collaborate with the Sonepar accounting shared services team on accounting and tax related duties.

• Collaborate with other functional areas of the business to provide support in business related matters.

• Support the year-end annual audit activities that are handled at the Opco level.

• Assist in monthly/quarterly/year end close process working in connection with the Sonepar accounting shared services team.

• Work with Sonepar accounting shared services team to maintain accurate fixed assets and depreciation reports. and maintain ownership of the equipment leasing process.

• Manage business licenses for the different business locations.

• Provide support to the management of the IES real estate leases process in coordination with Sonepar's Director of Real Estate.

• Assist operational managers with implementation and management of indirect spend initiatives.

• Support internal audit activities.

• Other responsibilities may be assigned.

Required Skills:

Knowledge, Skills and/or Abilities Required

Through previous background and experience, the candidate must be able to demonstrate, with or without an accommodation:

• Broad knowledge of business administration, finance and accounting.

• Proven ability to learn the business and work independently to achieve goals.

• Thrive in a changing, deadline-oriented environment where the ability to prioritize is very important.

• Ability to drive continuous improvements in financial reporting, planning and analysis activities.

• Ability to create financial and analytical models for data-driven decisions in a matrix organization.

• Advanced analytical skills.

• Excellent written and verbal communication skills across all levels of the organization and with parent company Finance management.

• Experience working with ERP systems. Eclipse ERP experience a plus.

• Experience with multi-dimensional software for financial reporting, planning and analysis (Prophix, Cognos, etc.)

• Experience with Power BI a plus.

• Experience with SQL and Access database a plus.

• Possess in depth knowledge of IES computer systems, Microsoft Office (Excel, Power Point, etc.).

• Must be a team player and abide by IES's strong core values and beliefs.

• Maintain confidentiality of proprietary business information.

Required Experience:

Qualifications and Education Requirements

• Bachelor's degree (B. A or B. S.) in Finance or Accounting from a 4-year college and three (3) to five (5) years of related experience and training; or equivalent combination of education and experience.

• Previous experience in wholesale distribution a plus.

• Master's degree a plus.

#LI-JW1

Job Requirements:","/Overview/Working-at-Independent-Electric-Supply-EI_IE14870.11,38.htm"
Associate Analyst Small/Mid Cap Investment Team,Alger,3.5,"New York, NY",$82K-$173K ,-1,"Job Title: Associate Analyst – Small/Mid Cap

Reports to (title): EVP, Portfolio Manager

Company Description:

Founded in 1964, Alger is widely recognized as a pioneer of growth-style investment management. Headquartered in New York City with affiliate offices in Boston and London, Alger provides U.S. and non-U.S. institutional investors and financial advisors access to a suite of growth equity separate accounts, mutual funds, and privately offered investment vehicles. The firm’s investment philosophy, discovering companies undergoing Positive Dynamic Change, has been in place for over 50 years. In March 2017, Weatherbie Capital, LLC, a Boston-based investment adviser specializing in small and mid-cap growth equity investing, became a wholly-owned subsidiary of Alger.

Alger’s Investment Team is the engine that drives the Firm’s strong long-term investment returns of our portfolio strategies and success for our clients. Our investment strategies range from U.S. small cap to large cap stocks and International and Emerging Markets growth stocks, in both traditional long-only and long/short hedged equity portfolios. We are over 40 experienced professionals, led by our portfolio managers and senior sector analysts, who work together to identify and research domestic and global growth trends across all economic sectors to uncover compelling investment opportunities. We target “outside the box” ideas and our firm’s philosophy encourages creative and independent thinking. Each investment idea goes through a rigorous series of analyses. Many of our analysts have direct experience in the industries they invest in and/or advanced degrees in their fields. Compared to other buy-side firms, our teams are small – and this “boutique” culture allows analysts of all levels to contribute. Working in smaller groups, analysts have more responsibilities, rather than being just a “number-cruncher” at a larger firm. With that in mind, we focus on investing in developing talent. Many of our senior analysts have started their careers at Alger at the Associate Analyst level.

Job Description:

Alger is seeking bright and enthusiastic Associate Analysts (AAs) to join our Small and Mid Cap investment team. We favor candidates who are passionate about investing, embrace challenges, welcome increasing responsibilities, and thrive in a dynamic environment.

Alger’s Investment Team is the engine that drives the Firm’s strong long-term investment returns of our portfolio strategies and success for our clients. Our investment strategies range from U.S. small cap to large cap stocks and International and Emerging Markets growth stocks, in both traditional long-only and long/short hedged equity portfolios. We have over 40 experienced professionals, led by our portfolio managers and senior sector analysts, who work together to identify and research domestic and global growth trends across all economic sectors to uncover compelling investment opportunities. We target “outside the box” ideas and our firm’s philosophy encourages creative and independent thinking. Each investment idea goes through a rigorous series of analyses by sector specialists rather than generalists. Many of our analysts have direct experience in the industries they invest in and/or advanced degrees in their fields. Compared to other buy-side firms, our teams are small – and this “boutique” culture allows analysts of all levels to contribute. Working in smaller groups, analysts have more responsibilities, rather than being just a “number-cruncher” at a larger firm. With that in mind, we focus on investing in developing talent. Many of our senior analysts have started their careers at Alger at the AA level.

AAs, along with their team, work with portfolio managers on generating insightful investment ideas. This direct exposure to top level management is rare in the investment community and current AAs thrive on the ability to work with highly experienced investors. Upon hire, AAs will be assigned to permanent sectors with an opportunity to rise among the ranks of the investment team.

Duties & Responsibilities:

Analyze financial statements, interview/visit company management, build and update detailed financial/valuation models, write research reports.Interact with sell-side analysts, industry contacts, investor relations personnel and senior management of companies to develop an investment thesis on a stock or industry themeConduct maintenance research and reports on business news on portfolio holdings. Analyze companies’ earnings reports, including previews and reviewsCollaborate with the investment team on original research projects and ideas to present to the VP or portfolio managerMaintain data bases tracking industry research and statistics. Develop and maintain proprietary data tracking industry research files

Qualifications:

Minimum 4-8 years Investment Research, Private Equity, Investment Banking or Equivalent Industry experiencePassion for the financial markets and investments along with an extraordinary curiosity about business and industryProven quantitative and qualitative analytical capabilities including financial modeling, industry and product analysis and report writingUndergraduate degree in a finance, science, mathematics, engineering, liberal arts or an equivalent combination of training and experience, MBA preferredStrong undergraduate GPA with strong accounting and finance skillsCFA preferredExcellent communication skills, both written and oralHigh level of self-motivation and work ethic along with the ability to complete assignments quickly and accuratelyPositive attitude with a willingness to attack challenging intellectual problemsStrong competitive spirit and desire to succeedAbility to work in a team-oriented fast-pace environment both while being able to prioritize projects
","/Overview/Working-at-Alger-EI_IE14130.11,16.htm"
Treasury Analyst,Fortune 500 company,,"Boston, MA",$75K-$90K ,-1,"We are looking for a Senior Treasury Analyst to join a global, publicly-traded company in the Boston area. You will be joining a world class team and focusing on cash management and reporting. You will be assisting in making strategic decisions and help maintain external relationships with banks and other financial institutions/partners. 
 
Company Highlights:

Conveniently located in Boston, easy access via public transportation
Fortune 500 Company
Excellent company culture
Volunteer Day Off
Fundamentally green company

 
Responsibilities:

Handle automation of cash management
Manage external relationships in regards to different bank accounts
Assist with internal/external audits
Help with process improvements
Work with leadership to make strategic decisions
Handle projects as needed

 
Qualifications:

Minimum of 2 years of treasury/related experience
BS or BA in Finance, Accounting, or related field
Knowledgeable in cash management and treasury functions
Strong system skills
Excellent written/verbal communication skills

 ",
Financial Analyst,Catalent Pharma,3.1,"Bloomington, IN",$35K-$54K ,-1,"Job DescriptionPosition Overview:

Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents, ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here

Financial Analyst

A financial analyst’s primary duty is to support the accounting/finance function by performing general day-to-day accounting and financial duties.

Responsibilities include maintaining integrity and accuracy of the general ledger accounting records, reconciliations and documentation, performing monthly financial closing procedures to ensure accurate and timely preparation, presentation and analysis of financial statements, tracking and maintaining accurate construction in progress and fixed asset accounting records.

Catalent’s Bloomington location provides drug substance manufacturing, drug product manufacturing, and related pharmaceutical services. This award-winning facility helps customers accelerate biologic drug development programs and bring better treatments to help patients live better, healthier lives.

The Role

Works independently on a broad range of difficult problemsCompetent at-risk mitigation for functionPerform analytics that drive increased visibilityResearch and prepare variance analyses, as neededWork with FP&A team to develop revenue, spending, and other analyticsAssist with development and submission of monthly forecasts

The Candidate

Bachelor’s degree required (Strong preference for Finance or Accounting Major)2-5 years of relatable experienceAdvanced ability to gather, monitor, analyze and document dataAdvanced PC skills, including advanced spreadsheet functions (e.g. Pivot Tables, Lookups, Formulas)

We will identify candidates based on the following:

Leads with Integrity and RespectDelivers ResultsDemonstrates Business AcumenFosters Collaboration and TeamworkChampions ChangeEngages and InspiresCoaches and Develops

Position Benefits

Diverse, inclusive culturePotential for career growth on an expanding team within an organization dedicated to preserving and bettering livesCompetitive salary with quarterly bonus potentialOn-site fitness center and wellness programsExcellent on-site cafeteria

Catalent offers rewarding opportunities to further your career! Join the global drug development and delivery leader and help us bring over 7,000 life-saving and life-enhancing products to patients around the world. Catalent is an exciting and growing international company where employees work directly with pharma, biopharma and consumer health companies of all sizes to advance new medicines from early development to clinical trials and to the market. Catalent produces more than 70 billion doses per year, and each one will be used by someone who is counting on us. Join us in making a difference.

personal initiative. dynamic pace. meaningful work.

Visit www.catalent.com/careers to explore career opportunities.

Catalent is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation or gender identity. If you require reasonable accommodation for any part of the application or hiring process due to a disability, you may submit your request by sending an email, and confirming your request for an accommodation and include the job number, title and location to DisabilityAccommodations@catalent.com. This option is reserved for individuals who require accommodation due to a disability. Information received will be processed by a U.S. Catalent employee and then routed to a local recruiter who will provide assistance to ensure appropriate consideration in the application or hiring process.

Notice to Agency and Search Firm Representatives: Catalent Pharma Solutions (Catalent) is not accepting unsolicited resumes from agencies and/or search firms for this job posting. Resumes submitted to any Catalent employee by a third party agency and/or search firm without a valid written & signed search agreement, will become the sole property of Catalent. No fee will be paid if a candidate is hired for this position as a result of an unsolicited agency or search firm referral. Thank you.","/Overview/Working-at-Catalent-Pharma-EI_IE43266.11,26.htm"
Financial Analyst,Advisor Group,3.4,"Oakdale, MN",$40K-$69K ,-1,"Corporate Finance Opportunity in Financial Services

Financial Analyst

Location(s): 7755 Third Street North, Oakdale, MN 55128

INTERNAL APPLICANTS: All qualified internal applicants, irrespective of location, will be considered for all internally posted roles at this time. Compensation range displayed in internal postings is the national average, and compensation decisions will be employee-location based.

Summary:

The Financial Analyst is primarily responsible for supporting Advisor Groups Corporate Finance functions, which broadly encompasses financial analysis, recruiting economics, long-range planning, and M&A activities. In this capacity, he/she will play a leading role in various analytical efforts within the group while developing and managing relationships with key leaders and stakeholders within various business units.

Responsibilities:

Develop / maintain complex financial models as part of the long-term planning, recruiting and M&A processesDetermine the best approach to analyzing and synthesizing data and work independently to solve complex problemsAssess the financial and economic performance of various business opportunities through detailed understanding of revenue and cost driversAssist in administering the loan program including creating repayable loan schedules, reviewing promissory notes and agreements for conformity with approved terms, submitting loan funding packages, and monitoring the funding processAccurately inputs loan data into our core systems and creates loan filesCreates and provides reporting on loan programs for multiple audiences, including executive leadership teamMonitors advisor terminations and coordinates collection efforts across business unitsWorks with Tax Department to ensure timely and accurate 1099 preparationAnswers inquiries from both external and internal customers regarding loan history, transactions, reconciliations, and tax reportingMay be required to assist on moderate to complex special projects, that include production of analysis and recommendations for senior management with respect to strategic business decisionsDevelop and maintain excellent relationships with colleagues across business unitsAll other duties as assigned

Education Requirements:

Bachelors degree in business, finance, accounting, economics, or related field required

Basic Requirements:

Minimum of 2 years experience in finance or business analysis roleProficiency in MS Office products, particularly Excel and PowerPointIntermediate to advanced financial modeling and analysis skillsAnalytical skills including the ability to identify key trends and driversExperience and interest in working in financial/reporting systems (Workday, SABOS, Caesar)Strong written and verbal communication skillsHighly motivated with demonstrated experience managing multiple projects in a fast-paced, deadline-oriented work environmentSelf-starter who will anticipate challenges and work proactively to resolve issuesComfortable working within an entrepreneurial, roll-up your sleeves environmentTeam player with customer service mentality

Preferred Requirements:

Prior financial services industry experience

Equal Opportunity EmployerAdvisor Group is an equal opportunity employer. We celebrate diversity in our workplace and we hire the most qualified candidates without regard for age, ethnicity, gender, gender identity or expression, language differences, nationality or national origin, family or marital status, physical, mental, and developmental abilities (or the perception of a disability), genetic information, race, religion or belief, sexual orientation, skin color, social or economic class, education, work and behavioral styles, political affiliation, military service, caste, or any other characteristic protected by law.EligibilityApplicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Advisor Group.Unqualified ApplicationsAdvisor Group does not consider applications from candidates who do not meet the minimum qualifications stated in the job posting.Recruiting AgenciesAdvisor Group only accepts candidates from contracted recruiting firms and only for searches approved prior to submissions. Fees will not be paid for unsolicited submissions.","/Overview/Working-at-Advisor-Group-EI_IE1403632.11,24.htm"
Financial Analyst,Aita Consulting Services Inc.,4.4,"Madison, NJ",$57K-$91K ,-1,"Job DescriptionDescription:

Summary: Develop process for standardized inventory reporting, including inventory by site, by brand, etc. Develop process to report inventory reserves consistently with ABBV reporting. Document inventory reserves. Prepare analysis of inventory and reserves for forecasts and actuals

Performs various financial and sales analyses needed for the financial model. Designs and build financial models to Inventory changes and flux analysis. Performs various ad hoc analyses for the management and in support of analytical needed.

Minimum Qualifications: Bachelor's Degree in Accounting, finance or equivalent from an accredited college or university, and five (5) to seven (7) years accounting finance work experience.

Physical Requirements and Working Conditions: Incumbents in this class are subject to extended periods of sitting, standing and walking, vision to monitor, moderate noise levels and occasional business travel. Work is performed in an office environment.","/Overview/Working-at-Aita-Consulting-Services-Inc-EI_IE273903.11,39.htm"
2021 Corporate & Investment Bank Markets Full-Time Analyst Program - Sales,JPMorgan Chase & Co.,3.9,"New York, NY",$45K-$80K ,-1,"If you want to learn about how global financial markets move while working in a collaborative, supportive team structure, then sales, trading and research is right for you. Our teams research and identify opportunities for our clients, help them with complex financial transactions - and we do it all in a fast-paced, dynamic environment that's never dull. If you like working quickly, developing relationships or diving deep into analysis, we have a role for you.What to expectOur global Markets teams are active in all major financial markets and develop sophisticated financial solutions to help clients manage risk, increase returns and solve complex financial problems. Globally, we hold leadership positions across all major financial markets. This approach means you'll be part of a dynamic team, helping to solve a range of challenging and interesting business issues and will be challenged in your work.J.P. Morgan's salesforce help corporate and institutional clients navigate the breadth of J.P. Morgan's product offerings across Markets and Platform Services, focusing on matching the firm's resources to our clients' needs. They build relationships with clients and package tailor-made solutions that meet the needs of a wide array of clients. To make this excellence possible, salespeople have a wide knowledge of multiple products, and proactively engage with clients and suggest trade ideas. A salesperson typically has excellent communication skills, an analytical mind, is a capable multi-tasker and team-orientated.This role will have start dates in February 2021 as well as summer of 2021. From day one, you'll build your technical skills through extensive training. You'll participate in training in New York for four weeks of instruction in statistics, economics, credit analysis, valuation, financial modeling and more. Through hands-on experiences, you'll learn about the various assets classes - equities, credit, foreign exchange, commodities and emerging markets.You'll make an impact by:* Developing strategies to help clients outperform their benchmarks* Managing risk as part of a team* Conducting research on various sectors* Sharpening your technical skills* Building your professional network with mentors, senior executives and othersAbout youWe're looking for individuals with the vision and insights to advise our teams and clients around the world. Key skills include:* Exceptional quantitative, analytical and communication skills* Genuine interest in financial markets and economic data and trends* Knowledge of Excel, Powerpoint and Word* Excellent leadership and collaborative skills* Attend college/university in the U.S.* Expected graduation date of December 2020 - Spring 2021* Minimum preferred cumulative GPA of 3.2 on a 4.0 scale* Authorization to work permanently in the U.S.Join usAt JPMorgan Chase, we're creating positive change for the diverse clients, customers and communities we serve. We do this by championing your innovative ideas through a supportive and inclusive culture that helps you every step of the way as you build your career. If you're passionate, curious and ready to make an impact, we're looking for you.What's next?Help us learn about you by submitting a complete and thoughtful application, which includes your resume. Your application and resume is a way for us to initially get to know you, so it's important to complete all relevant application questions so we have as much information about you as possible.To get started, enter your email address. Your email address will be used to create and maintain your profile. If you are a current JPMC employee, use your JPMC email address to apply for jobs internally. Do not use an email address with "".edu"" extension as doing so could result in delays receiving updates regarding your candidacy.After you confirm your application, we will review it to determine whether you meet certain required qualifications.If you are advanced to the next step of the process, you'll receive an email invitation to complete a series of 12 games through the pymetrics platform. pymetrics will allow you to showcase your potential beyond what you tell us in your resume and application form. It's an additional data point that helps us gain a better understanding of who you are as an individual. It should take no longer than 25-35 minutes to complete. If you have already completed the pymetrics games, you will have the opportunity to submit your gameplay results for this specific application without having to replay the games.Following completion of pymetrics, you'll receive another email invitation to complete a video interview, powered by HireVue. This is your opportunity to further bring your resume to life and showcase your experience for our recruiting team and hiring managers.Both pymetrics and HireVue are required, and your application will not be considered for further review until you have completed them. We strongly encourage that you apply and complete these required elements as soon as possible, since programs will close as positions are filled.We recommend that you apply to one Markets program and no more than three.JPMorgan Chase is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.Visit jpmorganchase.com/careers for upcoming events, career advice, our locations and more.©2020 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran","/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE145.11,32.htm"
Financial Analyst,Jump Trading,4.4,"Chicago, IL",$71K-$96K ,-1,"In the role of Financial Analyst, you will be responsible for supporting all accounting and finance functions related to infrastructure at Jump. Each day you will be faced with new challenges that will continuously leave you looking for ways to help the team and business units become more efficient!

Are you a strong communicator, have a naturally analytical mind, enjoy running with a challenging problem and intellectually curiosity pushes you to reach your fullest potential? Then joining Jump's finance team is the right move for you!

What you'll do:

Assists in preparation of internal financial statements and support monthly close schedule for multiple U.S. and International entities. Including but not limited to booking of month end journal entries and balance sheet reconciliations.
Manage accounting related to technology expense recognition including but not limited to reconciliation of large data sets between general ledger and sub ledger data.
Assists Controller and Accounting team in the development of accounting policy and procedures with respect to infrastructure business needs.
Interfaces directly with various operations teams, focusing on monthly review and reconciliation of expenses, management reporting, and development/review of project budgets vs actual spending.
Reviews significant or unusual transactions while ensuring proper explanation and documentation.
Assists with external financial audits, taxes, and compliance issues.
Ensures timely and accurate completion of special projects.

Skills you'll need:

A bachelor's degree in accounting required
At least 5+ years of work experience within a similar environment required
Highly proficient in MS Excel, including experience with lookup functions, pivot tables, and macros.
Preferred experience with SQL database tools, including experience in building and executing queries.
Possesses strong analytical skills, attention to detail, and an inquisitive mind.
Able to multitask and prioritize multiple projects in a fast-paced entrepreneurial environment.
Demonstrates exceptional communication skills, including the ability to articulate complex financial ideas to non-technical audiences.
Must be flexible, conscientious, adapt easily, and be motivated by constant change.
Able to work both independently and in a team to define and resolve issues.
Impeccable ethics, integrity, and ability to work with confidential information are required
CPA preferred
","/Overview/Working-at-Jump-Trading-EI_IE251744.11,23.htm"
2021 Corporate & Investment Bank Investment Banking Full-Time Analyst Program - Latin America Adviso,JPMorgan Chase,3.9,"New York, NY",$61K-$102K ,-1,"Work alongside the top professionals in the business to come up with solutions that shape the global economy. Our bankers are focused on long-term relationships and developing strategies that help our government, institutional and corporate clients grow and innovate. We do this by providing sound advice, helping them access funds and making connections, all while helping clients manage the many risks in today's complex environment.Our industry and product teams work together to develop and execute strategies that help our clients grow and achieve their objectives in today's global markets. Our global industry and product teams include: Consumer & Retail, Corporate Finance Advisory, Diversified Industries, Energy, Equity Capital Markets, Financial Institutions, Financial Sponsors, Healthcare, Investment Grade Finance, Latin America Advisory, Leveraged Finance, Media & Communications, Mergers & Acquisitions, Public Finance, Real Estate, Gaming & Lodging, Regional Investment Banking, and Technology.Working here means joining a collaborative, supportive team. We want your diverse perspective to help us innovate the next wave of products and solutions for our clients. We'll give you what you need to succeed from training to mentoring from senior leaders to projects that engage all your skills.**What to expect**This full-time program offers hands-on experience with extensive training. You'll spend weeks with our leaders and top consultants learning about our products, services and business practices through interactive learning tools, case studies and modeling sessions. We provide extensive pre-training coursework to build your financial and economic expertise as well as dedicated Series 79 and 63 preparation.**You'll make an impact by:**+ Working on mergers and acquisitions processes and capital markets transactions+ Performing valuation analyses+ Building detailed financial models and executing transactions from pitch to close+ Analyzing market data, building detailed financial models and preparing client presentations+ Coming up with innovative and creative ways to solve complex, real-world business challenges+ Learning how we help clients and communities grow+ Sharpening your corporate finance technical skills+ Building your professional network with mentors, senior executives and othersLocations and groups you may join:+ New York City: Latin America Advisory**About you**If you've got initiative and the vision to come up with strategies and plans, then this is the role for you.**Key skills include:**+ Excellent analytical, quantitative and communication skills+ Expertise in corporate finance or economics a plus+ Excellent leadership and collaborative skills+ Fluency in English+ Knowing your way around Excel, PowerPoint and Word+ Degree or Academic major in finance, economics, engineering or business+ Attend college/university in the U.S. (for U.S. groups)+ Expected graduation date of December 2020 - Spring 2021+ Minimum preferred cumulative GPA of 3.2 on a 4.0 scale**Join us**At JPMorgan Chase, we're creating positive change for the diverse communities we serve. We do this by championing your innovative ideas through a supportive culture that helps you every step of the way as you build your career. If you're passionate, curious and ready to make an impact, we're looking for you.**What's next?**Help us learn about you by submitting a complete and thoughtful application, which includes your resume. Your application and resume is a way for us to initially get to know you, so it's important to complete all relevant application questions so we have as much information about you as possible.To get started, enter your email address. Your email address will be used to create and maintain your profile. If you are a current JPMC employee, use your JPMC email address to apply for jobs internally. Do not use an email address with "".edu"" extension as doing so could result in delays receiving updates regarding your candidacy.After you confirm your application, we will review it to determine whether you meet certain required qualifications.If you are advanced to the next step of the process, you'll receive an email invitation to complete a series of 12 games through the pymetrics platform. pymetrics will allow you to showcase your potential beyond what you tell us in your resume and application form. It's an additional data point that helps us gain a better understanding of who you are as an individual. It should take no longer than 25-35 minutes to complete. If you have already completed the pymetrics games, you will have the opportunity to submit your gameplay results for this specific application without having to replay the games.Following completion of pymetrics, you'll receive another email invitation to complete a video interview, powered by HireVue. This is your opportunity to further bring your resume to life and showcase your experience for our recruiting team and hiring managers.Both pymetrics and HireVue are required, and your application will not be considered for further review until you have completed them. We strongly encourage that you apply and complete these required elements as soon as possible, since programs will close as positions are filled.JPMorgan Chase is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.Visit jpmorganchase.com/careers for upcoming events, career advice, our locations and more.©2020 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran","/Overview/Working-at-JPMorgan-Chase-EI_IE145.11,25.htm"
"Financial Analyst, Operations",Keolis Transit,2.5,"Boston, MA",$31K-$49K ,-1,"

 

 Job Title Financial Analyst, Operations  Location Boston  Department Administration  FLSA Status Exempt  Shifts hiring Full-time  Additional Information KTA00079
KEOLIS is hiring a Financial Analyst - Operations for our Boston, MA location. Come grow your career with us!
Role Title

Financial Analyst, Operations Location

Boston
Role purpose Owns of the FP&A function of the company. Leads the company’s financial reporting to managers inside the organization and outside to the Keolis group. Responsible for the forecast, annual budgeting process, operating plan variance analysis and special projects. This function acts as the analytical engine of the company to provide insights and support ‘optimal’ business decision making. Create the link between financial and operational data. The position reports to the Chief Financial Officer.
Skills Reporting and Compliance


Financial Planning and Strategy
Strong analytical skills
Ability to create reports

Business Partnering and Communication


Strong communication and presentation skills
Articulate with excellent verbal and written communication skills
Strong leadership with an ability to explain complicated challenges to different areas of the business

Finance skillset


Understanding of accounting principles
Financial modelling

IT Skills, Data orientated


Strong computer skills (ERP, financial planning tool, business intelligence tool)
Ability to work with large quantities of data.


Knowledge and Experience 

BS degree in Finance
At least 5 years’ experience in a similar position
Experience in financial planning and budgeting in a complex multisite business
Experience in multi-unit organization
Business performance orientated


Financial Planning 

Create and document the annual budget process (timeline, templates and tool), in line with the KTA business planning process
Communicate, implement and monitor compliance to the annual budget process
Coordinate the regular reforecast of the budget, enabling improved visibility on future financial performance
Support the CFO in communicating financial forecast to the KNA platform and Keolis Shareholders
Provide in depth analysis of variations to budget and forecasting, enabling deeper understanding of our financial variables
Support each location in designing and implementing action plan to support delivery of their budget
Create and maintain the budget pack (presentation and supporting files) to assist communication of the budget and the regular reforecast.
Support KTA and KNA leadership in making data driven tactical and strategic decisions through a fit for purpose financial planning process.


Financial Analysis – Monthly Review 

Coordinate the monthly financial review meetings
Create, and in some instances, support the creation of the monthly pack, enabling a monthly deep dive into KTA financial performance
Produce the financial analysis with reporting packages, monthly, quarterly, annually
Monitor performance indicators, highlighting trends and analyzing causes of unexpected variance (both operational and financial)
Implement and work with a Business Intelligence tool and dashboard reports
Improve performance by evaluating processes to drive efficiencies. Follows up performance actions plans within the organization
Analyze the trends of Key Performance Indicators (KPI), especially relating to financial metrics such as revenues, expenditures, and profit margin.


Financial Analysis – Business Partnering with Locations 

Partner with the GM and the Regional Vice President in understanding and improving financial performance of each contract
Coordinate the design of financial actions plan, in support to the GMs and the Vice Presidents. Monitor the delivery of the action plans, supporting the locations in understanding financial impacts of their initiatives.
Analyze current and past trends in key performance indicators including all areas of revenue, cost of sales, expenses and capital expenditures
Analyze complex financial information and reports to provide accurate and timely financial recommendations to management for decision making purposes
Provide Ad-Hoc reporting and analysis


Contract Variations and Renewal 

When required, support the KTA leadership team in negotiating contractual variations and contractual extension
Provide costing information to assess the financial impact of contractual variations, in support to eh local and corporate team
Provide recommendation to enhance our financial outcomes, while maintaining the highest level of integrity and respecting Keolis Values.
When required, support the Vice President Operations with negotiations with clients and partners


Additional Statements

Drug and alcohol screening: Employment contingent upon passing pre-employment drug and alcohol screen. Also, contingent upon receiving a favorable background check. If applying for a safety sensitive position, it may require a physical examination.

Safety commitment: Safety is a way of life at Keolis. By placing safety first, we ensure the wellbeing of our employees, customers, and communities. Together we can become the most successful transportation company in the world.

Environmental commitment: Keolis is committed to protecting the environment by minimizing the impact of operations to our people and the communities in which we operate.

EEO statement: Our policy is to afford Equal Employment Opportunity to qualified individuals regardless of their race, color, sex, religion, age, creed, marital status, national origin, ancestry, physical or mental disability, sexual orientation, or gender identification. We maintain a drug-free workplace and perform pre-employment substance abuse testing.

Disclaimer and closing statement: The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of employees assigned to this job. Keolis is committed to offering our employees competitive compensation and benefits, opportunities for development and growth throughout an exciting and rewarding career, and the safest work environment possible.","/Overview/Working-at-Keolis-Transit-EI_IE759793.11,25.htm"
