,rating,estimate_salary_point,company_link,location,company_name,title,estimate_salary_range,job_description
0,4.6,"$53,697","/Overview/Working-at-Mason-Technologies-EI_IE1177750.11,29.htm","Deer Park, NY",Mason Technologies,RCDD Engineer,$48K-$56K ,"RCDD(Registered Communications Distribution Designer)
Mason Technologies is a Proud Women’s Business Enterprise located in Deer Park, NY looking for a brilliant mind to join our growing team. Mason provides endless growth potential an on-site fitness facility for employees only. We operate as a team and we rally around each other, if you’re looking for a career then we want to hear from you.
Mason Technologies has been in business for 17 years. We are a Structured Cabling, Audio Visual and Security integrator that provides turnkey solutions to our customers. Our partners range from some of the greatest tech companies in the world to the Federal Government where we work to do our part in protecting our Great Nation. Our team is all in, we work hard, support each other and promote a culture where ownership can be found diving into a project with new hires every day.
Requirements:
Education

RCDD Certification

Responsibilities:
Summary - You will be responsible for coordinating design/estimating team, designing projects and reviewing bids as they come in and ensuring all proposals are completed in a skillful and timely manner.

Manage assigned quote requests and report on status to each internal stakeholder
Designing and estimating of Structured Cabling projects and building customer facing proposals
Possess field knowledge in order to provide accurate labor estimates
Ability to review construction plans, perform take-offs and review material specifications to compose BOM’s and bid responses
Ability to attend project walk throughs to survey site conditions and prepare reports for internal review / estimate preparation
Compose a bill of materials for each project in order to obtain pricing from Manufacturers and Distributors
Propose necessary structured cabling solutions based on customers’ requirements
Ability to work closely with Sales, Finance and Procurement to ensure proposals align with organizational standards
Able to compile RFI responses in order to successfully gain the necessary information to propose an accurate quote

Skill Set

Superior organizational skills
Must be able to read and understand blueprints
Highly proficient in Microsoft Office (specifically Microsoft Excel), Various Estimating software and ERP systems
Strong verbal and written communication
Minimum of 3 years Structured Cabling Design/ Estimating experience
Demonstrated knowledge of cabling standards and components
Skillful in writing a detailed scope of work for client presentation
AV experience a plus but not a requirement
Ability to multitask!
Capable of thriving in a fast-paced environment

If you’re looking for a place to plant roots and either start or build your career, this is the best team to join. We are a serious organization, but we are a family and look forward to growing together.
 "
1,,"$75,632","/Overview/Working-at-Building-Enclosure-Science-EI_IE2212019.11,37.htm","Providence, RI",Building Enclosure Science,Architectural Engineer,$64K-$93K ,"Building Enclosure Science (BES) is an award-winning construction consulting and materials testing firm that works on the performance, durability and sustainability of buildings. Located in Providence, Rhode Island BES has an immediate opportunity for a Technician in the field of architectural engineering.BES services the greater New England area and beyond, providing building enclosure investigations, remedial repair designs, commissioning, testing, construction quality control, design review, litigation support and owner’s project management. The field of building science is growing and BES is excited to add to our team of collaborative, quality-oriented, detailed, hard-working, persistent, efficient and process-driven individuals.Qualifications:

Passion for the built world (construction, engineering, design, architecture, building materials and technology). Previous experience preferred
College degree or applicable experience in engineering, architecture, construction, construction management, building science or other related fields
Able to clearly communicate in written and verbal format, to work both independently and in a collaborative team environment and consistently meet objective-based goals
Experience with Adobe DC, BlueBeam, Project Management software and MS Office, proficiency in AutoCAD and InFocus is preferred

Technician will be required to perform the following duties: 

Assist in performing building system forensics, condition assessments, existing condition, and destructive and non-destructive testing
Assist in the coordination of services with internal and external experts, design professionals, manufacturers, and contractors
Assist in preparing reports documenting observational findings, conclusions and recommendations
Perform on-site quality control inspections, document field conditions with digital photography
Perform on-site field testing of building assemblies
Assist in the development of project plans, details and specifications as required by the project team
Develop a working knowledge of design codes and industry standards
Assist in providing quality assurance services during the construction phase of projects
Assist with the performance of infrared thermal scans and electronic field vector mapping (EFVM) surveys

Building Enclosure Science offers a highly competitive salary, professional development, continuing education, retirementsavings matching, paid holidays, vacation and health benefits. Please forward resume/C.V., writing sample, work sample, and three (3) references to Joan Costello the Director of Human Resources.We are an Equal Opportunity Employer and do not discriminate against applicants due to veteran status or on the basisof disability. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexor national origin."
2,3.8,"$79,724","/Overview/Working-at-American-Integrity-Insurance-EI_IE1076405.11,39.htm","Tampa, FL",American Integrity Insurance,Dev Ops Engineer,$59K-$92K ,"Our CompanyAbout Us:

American Integrity Insurance, the premier writer of Florida homeowners insurance, has more than 295,000 customers and is exclusively represented by more than 1000 independent agents who specialize in this complex and ever-evolving market. We offer sound and comprehensive home, condo, rental property and manufactured home insurance to families throughout the Sunshine State. Comprised of over 240 insurance professionals, most of whom work in our Tampa-area headquarters, we have been recognized as a Top Place to Work in Tampa by the Tampa Bay Times and a Best Places to Work in Insurance by Business Insurance magazine for the past six years.

A Day in the Life:

Who Says Insurance Can’t Be Fun? From company picnics to charity events, no one can ever say American Integrity Insurance doesn’t understand the importance of having fun, helping others and giving back. Our company culture is priceless, and we hold true to our six core values: integrity, commitment, teamwork, humility, passion and fun. As a team working to provide home insurance solutions to our policyholders, together we aim to achieve greater heights each day and celebrate each other's accomplishments along the way. It is our mission to continue providing reliable, customer-centric homeowners insurance to Florida residents and paying claims in a timely manner when our customers suffer a loss – and to do so with Integrity.

Learn more about American Integrity Insurance and our job opportunities at www.aiiflorida.comThis JobYour Title: Dev Ops Engineer

You'll Report to: Director of IT Operations

The DevOps Engineer is responsible for the design, effective provisioning, installation/configuration, operation, and maintenance of all hardware and software systems including all related infrastructure with a focus on supporting a team of Developers across the full SDLC. The ideal candidate will also provide some level of network support and serve as the backup to the Network Engineer. This individual participates in technical research and development to enable continuing innovation, automation, build, release and deploy of system objects across the company infrastructure. This individual ensures that system hardware, operating systems, software systems, and related procedures adhere to organizational guidelines. This individual will assist project teams with technical issues in the initiation and planning phases of projects to include: the definition of needs, benefits, and technical strategy; research & development within the project life-cycle; technical analysis and design; and support of operations staff in the executing, testing and rolling-out of solutions. Participation on projects is focused on smoothing the transition of projects from development staff to production staff by performing operations activities within the project life-cycle.What You’ll Do

Manage and configure AWS, Linux and Windows environments with a heavy emphasis on Linux administration.
Pursue a rigorous, disciplined approach to software development process and automation.
Develops, test and maintain build and deployment scripts in selected frameworks (Jenkins/Hudson CI + scp/FTP/etc.) to automate and streamline deployment processes.
Design processes and workflows with the collaboration of the Development leadership toward the implementation of best practices for productivity and efficiency.
Actively participate in scrum meetings and design meetings to drive quality releases.
Monitor applications with APM tools based on proactive measures to identify potential bottlenecks and remediations.
Produce and maintain documentation on installations, procedures and requirements for systems including activity dashboard(s)
Provides assistance with the resolution of problems while performing preventative maintenance to avoid problems.
Ensure availability, reliability, and optimal performance of systems and services by developing the ability to interpret monitoring, logging, and alerting systems output.
Evaluate monitoring and logging outputs on a regular basis and suggest new (or refine existing) alerting criteria
Manage and configure VMware environments.
Provides assistance with the resolution of problems while providing preventative maintenance to avoid problems.
Ensure availability, reliability, and optimal performance of system and services.
Performs other duties as assigned.
Provide after-hours support on a rotational ""on-call"" basis and to work ""off-hours"" as needed.

What You’ll Need to be a Top CandidateEducation: Bachelor’s Degree in Computer Science, Computer Engineer, or equivalent years of experience in a similar position.

Experience: Ten (10) years of technology and/or IT experience.

Skills / Knowledge:

Solid experience with Linux, Docker a plus
Experience administering Apache Hawtio, Prometheus, Grafana, etc.
Knowledge of monitoring applications using APM tools.
Experience with JUnit, SoapUI, Selenium, HTMLUnit, Curl, WGET, Apache Bench, and other REST API invocation utilities and test frameworks desirable
Experience supporting the following technologies: Cisco switches, Firewalls, VMWare 6.X
Expertise writing shell scripts.
Experience writing PowerShell scripts
Inter-networking troubleshooting experience in a network environment a plus.
Must possess good communication, organizational, writing and customer service skills, including professional demeanor.
Experience with MS Visio a plus.
Ability to work well independently, with outsourced resources and with a team to develop solutions and manage projects.
Must be driven and demonstrate ownership of daily work performance.
Ability to maintain a positive attitude.
Ability to interpret rules and regulations and how they apply operationally.
Must be flexible and work well in a rapidly growing and changing environment.
Strong verbal and written communication skills.
Strong organizational, time management, and detail skills.
Ability to maintain a high level of confidentiality.
Ability to effectively interact with employees at all levels of the organization.
Ability to anticipate and resolve problems.
Ability to adhere to all organizational policies and procedures.

Your EnvironmentWorking Conditions:  Normal business office environment. Must be able to remain in a stationary position for periods of time while constantly operating a computer and or other office productivity machinery such as a telephone. The person in this position needs to occasionally move about inside the office to access file cabinets, office machinery or communicate with coworkers. Ability to lift 10-50 lb. required. Occasionally, may require extended hours of work during the week and weekends.

Travel: Minimum, as required.

ADA: The above statements cover what are generally believed to be the principal and essential functions of this job. Specific circumstances may allow or require some people assigned to the job to perform a somewhat different combination of job duties.

American Integrity Insurance Group is an Equal Opportunity Employer"
3,3.0,"$123,189","/Overview/Working-at-Clover-Network-Inc-EI_IE466202.11,29.htm","Colorado Springs, CO","Clover Network, Inc.",Senior Software Engineer - Web,$81K-$161K ,"The Role:

Every day, Clover devices handle the core credit card and point-of-sale processing for hundreds of thousands of merchants. Behind the scenes, we operate a cloud platform providing processing, storage and collaboration for merchants, application developers, service providers and our merchants' customers. Our devices and platform form the backbone of millions of payment interactions between merchants and their customers daily.

Clover Web engineers are tasked with improving/expanding our Point of Sale offering and product by developing web applications and supporting a wide range of functionality across the suite of apps we provide our merchants. Our full Web Engineers work closely with Server Application Engineers, the Product Team, QA and designers. Our engineers are pragmatic in balancing priorities and enjoy working in an iterative model where web features are released every other week.

Responsibilities:

Own one, or more, of the Point of Sale web applications related to Restaurant management, Online ordering, Retail, etc; add new features, resolve bugs, and refactor/ improve the code base
Identify technical requirements in product meetings and assist the business team with realistic project planning and feature development; translate product requirements into functional, maintainable, extensible software that is in-line with company objectives
Take ownership of new products/features from development through deployment and production monitoring
Write automated tests for new features and update existing tests as needed
Work with QA to develop test plans/strategies
Participate in a regular on-call rotation

Requirements:

BS in Computer Science or equivalent engineering field
Minimum 2+ years of Web Applications development
Strong understanding of Java script /Typescript also familiarity with front-end frameworks such as React and Ember.
Proficiency with CSS3 and HTML5 templating
Familiarity with development tools like Jenkins, Maven etc and monitoring tools like Kibana, Wavefront etc.
Some experience writing tests; we use Jest, Cypress.io and Selenium.
Experience with package management systems, such as Yarn, Bower, etc.
Understanding of build systems: Web-pack, Rollup, etc.
Superior problem-solving skills and browser debugging capabilities
Flexible and self-driven with a collaborative approach to problem-solving

Nice to Have:

Proficiency with server side languages such as Python & Java and frameworks like Spring and understanding of REST APIs
Good understanding with database technology such as MySQL/Oracle and NoSql DB.
Some exposure to CSS pre-compilers, such as Sass or Less
Experience with building web apps that are ADA compliant
Experience with distributed computing
Web Security
"
4,4.5,"$68,593","/Overview/Working-at-Sila-Solutions-Group-EI_IE406290.11,31.htm","Reston, VA",Sila Solutions Group,API Software Engineer,$43K-$93K ,"The API Software Engineer who joins Sila will support a unique mission that leverages leading technology tools to facilitate the highly efficient integration of data and advanced analytics. In this role, you will architect an API Gateway and oversee application integration across the enterprise. Your results, as a Software Engineer, will enable access to or submission of heterogeneous data, exposure of analytic services through standard interfaces, and integration with external partners. Collaborating with data scientists, data engineers, and client stakeholders, you will work together to define the requirements that drive the API strategy. Your existing, personal knowledge of distributed application architectures, to include APIs, web services, microservices, and asynchronous event protocols contributes substantially to this endeavor.The successful candidate has the option to work on-site in Bethesda, MD or Reston, VA.Candidates must be currently authorized to work in the United States without the need for employment-based visa sponsorship now or in the future.What you'll do:Architect, build, and manage API’s supporting on premise and cloud platform environments such as AWSContribute to the conceptual and physical design of application integration using APIs and eventsDevelop and test an API gateway that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scaleDevelop and test runtime execution of APIsPrototype and demonstrate concepts when necessary (e.g. mock-client apps)What you'll bring:Must possess a TS/SCI clearanceBachelor’s degree in Computer Science or Business Information Systems or equivalent educational or professional experience and/or qualifications with at least 3 years of experience in software developmentAt least 1 year of experience in developing REST services using Java or Python or Node.jsExperience delivering APIs for external partners and integrating with external vendorsAble to implement processes and troubleshoot to continue to improve operational stabilityExperience with GitHub or GitLabUnderstanding of DevOps processesStrong communication, interpersonal skills and problem-solving skillsSila will not sponsor any employee in this position for a work visa, now or in the future (i.e. H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant or immigrant status)About SilaSila is a technology and management consulting firm that delivers solutions to the world’s leading corporations. Our solutions expertise lies in the areas of risk management, data analytics, software engineering and integration, strategy and transformation, and digital creative services. We are a values-driven company with a culture that fosters collaboration, creativity, and social responsibility. Sila employees are part of a community of vibrant, high-performing contributors who push each other to achieve the highest standard of excellence. Our team members have extensive opportunities to discover their passions and shape their own career paths, and we continually invest in employees’ growth through innovative training, mentorship, and professional development programs. Staff are quickly immersed in clients’ business challenges, work closely with emerging technologies to develop impactful solutions to these challenges, and are exposed to a variety of industries and market offerings.We are looking for full-time employees to become an integral part of our growing team. Sila is headquartered in Seattle, WA and has offices in Shelton, CT and Washington, D.C. Sila offers a range of great benefits including a comprehensive healthcare package, 401K with matching, paid time off, and paid company holidays, as well as other unique benefits that support our staff’s active work/life balance.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law."
5,,-1,"/Overview/Working-at-Decisive-Intel-EI_IE1938955.11,25.htm","Warren, MI",Decisive Intel ,Embedded Software Engineer - Ability to Obtain Secret Clearance,-1,"
Job title: Embedded Software Engineer - Ability to Obtain Secret Clearance Job type: Permanent Emp type: Full-time 
Salary type:

 Annual 
Salary:

 Negotiable Location: Warren/Detroit, MI Job published: 04/21/2020 Job ID: 32226 Contact name: Bo Ryals Phone number: 256.217.4711 

Job DescriptionDecisive Intelligence, Inc. is seeking multiple Embedded Software Engineers to join a growing program in support of the Army’s Ground Vehicle Systems Center in Warren, MI.

We’re looking for a developer with the advanced skills needed to build embedded software products for military software and robotics applications from initial concept vision to production-ready systems. These cutting edge programs allow the Army to provide best in class products to our soldiers worldwide.

You’ll focus on developing software that considers the current systems architecture and operating environment, and look to build and integrate future functionality and enhancements.

Specific duties associated with this position are as follows:

Provide subject-matter-expertise and support in the requirements analysis, architecture, design, development, test plans, execution and sustainment of vehicle embedded software systems.
Guide, consult, and collaborate with a team of diversified engineers and technicians in executing system engineering practices consistent with defined organizational standards.
Provide software-specific input to project plans of execution in areas of scope, budget, resource needs, material needs, and schedule.
Provide support to various program actions and activities including meetings, vendor performance tracking, milestone planning, briefing preparation, staff coordination, risk management, and decision document preparation.
Review the completion and implementation of technical products and evaluate vendors’ capabilities.
Provide support in the execution of design reviews, production and sustainment planning, logistic support analysis, change management, and review of technical proposals for vehicle system products.
Develop Statements of Work (SoW), work break down structures, review software contract deliverables, and contract mechanisms.
Other responsibilities would include, evaluating software test procedures, test event coordination, responding to problem reports.
Define and manage risk. Assess risk impacts and develop risk mitigation strategies.
Evaluate technical data related to acquisition, program management and product development programs.
Attends technical conferences and meetings with representatives of other organizations.


Required Qualifications:

Experience with C, C++, C#, or Java
Ability to model, architect, design, develop, code, integrate, test, and manage software solutions to provide and sustain operational capabilities within systems and vehicles


Desired Qualifications:

Experience with Data Distribution Service (DDS) middleware to satisfy Open Architecture requirements for extensibility, maintainability, composability, and interoperability
Experience with development using Qt development environment and Joint Architecture for Unmanned Systems (JAUS) tool kit
Experience with UML modeling, including Enterprise Architect, Rational Tools, and Magic Draw and architecture diagramming frameworks, including standard patterns, Singleton, and Model-View
Experience with requirement development, including Use Case development and requirements analysis
Experience Jira, Confluence, and Bit Bucket
Experience in reverse engineering


Key Knowledge, Skills & Abilities for Success:

Knowledge of revision control, automated make systems, unit test frameworks, and developing and debugging embedded systems
Knowledge of robotic systems, including the Robot Operating System (ROS) and developing and diagnosing robotic systems
Ability to apply ISO/IEC 12207 standards for software and systems engineering and industry best practices associated with SEI Capability Maturity Model Integrated (CMMI) level 3 and above and Lean/6-Sigma principles to software process engineering, management, and control
Ability to apply program management, project management, risk management, and value management techniques and principles to determine and optimize cost, schedule, and performance parameters from development to fielding for software products
Ability to develop and execute software and electronics life cycle management, development, transition, and sustainment and support plans
Capability to develop executive level documents, summaries, and briefings.
Understanding of existing adversary threat environment and emerging capabilities.
Active Secret clearance


Education/Experience:

5+ years of experience with embedded software development life cycle processes and applications
BA or BS degree in Engineering or CS

#GDHP
"
6,3.9,"$78,710","/Overview/Working-at-Qualcomm-EI_IE640.11,19.htm","San Diego, CA",Qualcomm,Modem ASIC Engineer,$66K-$97K ,"
 Job Id 

 E1974486  Job Title Modem ASIC Engineer

 Post Date 05/08/2020
 Company 

 Qualcomm Technologies, Inc.
 Job Area Engineering - Hardware

 Location California - San Diego

 Job Overview Qualcomm CDMA Technologies(a.k.a. QCT - www.qctconnect.com) is the largest developer of 3G and 4G communication technology in the world. Our modem design teams deliver cutting edge hardware and software products across every established wireless standard/protocol. The role of a Modem Engineer at Qualcomm is the specification, design, verification and implementation of digital hardware and software for next generation wireless modem technologies that include 4G, 5G and Wireless LAN Technologies. 

Individuals in this role are responsible for developing next generation cellular handset modems.

 All Qualcomm employees are expected to actively support diversity on their teams, and in the Company.  Minimum Qualifications Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.

2+ years Hardware Engineering experience or related work experience.

"" id=""hdnMinimumQualifications"">Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.
2+ years Hardware Engineering experience or related work experience.
  Preferred Qualifications Master's degree in Computer Engineering, Computer Science or Electrical Engineering.

 Front end RTL design and synthesis.
 Development of high-speed customized logic cells
 Logic design for wireless modem ASICs or custom data-path components for DSP applications (sequential and arithmetic components).
 Ultra-deep sub-micron CMOS technology nodes such as 28 and 20nm and 14nm
 Proficiency in custom low power circuit design
 Experience collaborating with remote sites"" id=""hdnPreferredQualifications""> Master's degree in Computer Engineering, Computer Science or Electrical Engineering.
 Front end RTL design and synthesis.
 Development of high-speed customized logic cells
 Logic design for wireless modem ASICs or custom data-path components for DSP applications (sequential and arithmetic components).
 Ultra-deep sub-micron CMOS technology nodes such as 28 and 20nm and 14nm
 Proficiency in custom low power circuit design
 Experience collaborating with remote sites
 Education Requirements Bachelor's degree in Science, Engineering, or related field. "
7,3.2,"$136,053","/Overview/Working-at-MITRE-EI_IE3976.11,16.htm","Bedford, MA",MITRE,Lead Model Based Systems Engineer,$130K-$143K ,"Why choose between doing

meaningful work and having a fulfilling life? At MITRE, you can have both.

That's because MITRE people are committed to tackling our nation's toughest

challenges—and we're committed to the long-term well-being of our employees.

MITRE is different from most technology companies. We are a not-for-profit

corporation chartered to work for the public interest, with no commercial

conflicts to influence what we do. The Research & Development centers we

operate for the government create lasting impact in fields as diverse as

cybersecurity, healthcare, aviation, defense, and enterprise transformation.

We're making a difference every day—working for a safer, healthier, and more

secure nation and world.

The Resilient Force Direction and Weapons Department

identifies, develops and applies new technologies to address the Governments’

most challenging System Engineering problems. This is an opportunity for

engineers who are highly motivated, innovative and proactive looking to expand

their systems engineering, modeling and trade space analysis skills. This role

applies model-based system engineering (MBSE) methods and tools to analyze

complex systems and leading or contributing to a dynamic multi-disciplined

technical team solving critical problems and developing improvements through

innovation. MITRE is looking for strategic and technical leadership with proven

success in applying System Engineering to include digital engineering,

architecture development, requirements and technology trade analysis, and

acquisition to support the Air Force Weapons Systems Program Offices at

Bedford, MA or Eglin AFB, FL locations.

Responsibilities

include:

Analyzing complex

 systems-of-systems to provide actionable recommendations to the U.S. Air

 Force

Learning and applying Model Based Systems Engineering

 principles to assess requirements, government reference architectures, designs, and proposed

 changes to improve performance and support verification and test

Basic

Qualifications:

Bachelor's Degree in Computer Science, Electrical Engineering,

 Mathematics, Physics or related field8 years of relevant experience


Required

Qualifications:

Must be a U.S. citizen with the ability to

 possess/maintain a DoD Secret ClearanceProficiency in use of Microsoft Office including

 Outlook, Excel, and WordMust have demonstrated proficiency and strength in

 verbal, written, PC, presentation, and communications skillsExperience with model-based

 architecture engineering methods, languages (e.g., SysML), tools, and

 standards to build systems models, conduct analysis, and provide

 recommendations to support planning and decision-makingProven ability to work

 independently to learn new technologies, techniques, processes, software

 languages, platforms and systemsStrong communication and

 interpersonal skills to interact with technical peers, government.Familiarity with DoD Acquisition to

 include technical evaluations of contractor proposals


Preferred

Qualifications:

Advanced degree in technical field of studyCandidates that possess a current/active DoD Top

 Secret/SCI clearance are preferredExperience with modeling profiles,

 such as Unified Architecture Framework (UAF) and/or Unified Profile for

 DoDAF and MODAF (UPDM)Experience with M&S

 applications and integration of models and applications to perform more

 comprehensive simulationsExperience as a technical or

 project manager, experience supporting major acquisition programsExperience with missile weapon

 systems from technical and operational perspective

MITRE’s workplace reflects our values.

We offer competitive benefits, exceptional professional development

opportunities, and a culture of innovation that embraces diversity, inclusion,

flexibility, collaboration, and career growth. If this sounds like the choice

you want to make, then choose MITRE—and make a difference with us. For more

information please visit https://www.mitre.org/careers/working-at-mitre.

U.S Citizenship is required for most positions."
8,4.2,-1,"/Overview/Working-at-Ntrepid-EI_IE744521.11,18.htm",United States,Ntrepid,Senior Software Engineer,-1,"Ntrepid is seeking a full-stack Sr. Software Engineer to support engineering efforts of the Mobile Innovation Group. The ideal candidate is someone with a successful background in enterprise application development. As part of a small team on a high-visibility program in the company, this position provides ample opportunities to work on a wide range of technologies and make strong impact within the company.Design, architect, and implement highly complex distributed systemsBuild architecture reference and design documentation for new and existing software components Help cultivate innovationDesign, develop, test, deploy, maintain and improve the softwareMaintain healthy levels of communication between team members and leadershipMentor and train other team members on design techniques, and coding standardsTechnical - RequiredMinimum 8 years of enterprise level software development8+ years of solid software development experience with Java Experience with system architecture and designExperience in building scalable distributed systemsExperience with relational databases (e.g. Postgres, MySQL, MariaDB)Experience with NoSQL databases (e.g. CassandraDB)Experience with message oriented technologies (e.g. RabbitMQ, Apache Kafka)Experience using GitExperience with Git FlowExperience in Gitlab and Gitlab CI / CD technologiesExperience using DockerExperience writing and maintaining APIs and microservicesExperience with SpringExperience with writing tests with JUnitExperience with mocking frameworksExperience working with AgileMust be highly organized and an effective problem solverMust be highly innovative and creative, strong ability to design elegant solutionsDemonstrated willingness and ability to quickly learn new technologiesNaturally inquisitive, always up for a challengeExperience training and mentoring mid and junior engineersExperience with Unix at the system level  Technical - PreferredExperience using GradleExperience with various scripting languages (e.g. Bash, Python)Experience with Kubernetes Experience with gRPCFamiliarity with applications and system security principlesExperience with Android application development & integration into enterprise software platform"
9,3.4,"$84,757","/Overview/Working-at-General-Dynamics-Information-Technology-EI_IE18661.11,50.htm","Fort Detrick, MD",General Dynamics Information Technology,Systems Integration Engineer (SysML and/or UML),$67K-$110K ,"Type of Requisition:RegularClearance Level Must Currently Possess:NoneClearance Level Must Be Able to Obtain:NoneSuitability:No Suitability RequiredPublic Trust/Other Required:NACI (T1)Job Family:Systems EngineeringJob Description:General Dynamics Information Technology – Federal Civilian Division is currently looking for a Systems Integration Engineer to join our team to support the United States Army Medical Material Development Activity (USAMMDA) located at Ft Detrick, MD. USAMMDA is the premier developer of world class military medical capabilities with a mission to develop and deliver quality medical capabilities to protect, treat, and sustain the health of Our Service Members. This position is based in Ft. Detrick – Frederick, Maryland.

The Systems Integration Engineer will support the Warfighter Health, Performance and Evacuation (WHPE) PMO at USAMMDA in the following tasks. This is not a programming position.

RESPONSIBILITIES:

Providing systems integration engineering support for product development of systems such as the Health Readiness and Performance System (HRAPS).

Applying engineering principles for the effective integration of technology(s) into a system of systems, such as HRAPS, using an incremental, phased approach.

Researching, evaluating, and recommending Government off the shelf (GOTS) and Commercial off the shelf (COTS) sensors, algorithms and suggested leader actions into actionable information based on, but not limited to, requirements, technology maturity and availability for inclusion to programs of record in an incremental, phased approach.

Developing plans, schedules and estimates as they relate to systems integration.

Drafting technical instructions, engineering plans, technical designs, and other systems integration related documents.

Utilizing knowledge of wearable devices, physiological sensors and algorithms into actionable information that allows small unit leaders to make data-driven decisions on unit performance and safety.

Applying software and/or systems engineering knowledge, skills and experience in integrating technology into a system of systems using an incremental approach.

Applying knowledge, skills, and experience creating and manipulating systems engineering models using Systems Modeling Language (SysML) and/or Unified Modeling Language (UML)

Participating in special projects, as required.

REQUIRED QUALIFICATIONS:

Bachelor's degree or higher in a field such as Computer Science, Electrical Engineering, IT Hardware, Computer Engineering or related discipline, or the equivalent combination of education, professional training, or work experience

8+ years of related experience

Primary experience in hardware integration and some software integration

Experience using SysML and/or UML

Experience planning, coordinating, and integrating

Experience in understanding the big picture and doing technology assessments.

Must be U.S. citizen and be able to obtain a National Agency Check with Inquiries (NACI)

#GDITpriority

#MilitaryHealthGDITJobsScheduled Weekly Hours:40Travel Required:Less than 10%Telecommuting Options:Telecommuting Not AllowedWork Location:USA MD Fort DetrickAdditional Work Locations:We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class."
